Question,Option A,Option B,Option C,Option D,Correct Answer
Which methods of cooling the air that passes through the core engine can be used?,Engine with water sprayed system,Engine with fan air cooling system.,Engine with fluid cooling system.,,Engine with water sprayed system
Possible methods are used to compensate power of engine:,Increasing the airflow density,Increasing the airflow temperature.,Increasing the airflow pressure.,,Increasing the airflow pressure.
Engine with water injection system can spray water:,Into the engine air intake or into the front of the combustion chamber.,Into the engine air intake or into the inside of combustion chamber.,Into the front of the combustion chamber or into the inside of combustion chamber.,,Into the engine air intake or into the front of the combustion chamber.
What type of water can be used in engine water injection system?,Plain water only.,Water methanol mixture only.,Plain water or water methanol mixture.,,Plain water or water methanol mixture.
What type of mixture water can be used in engine water injection system?,Water fuel mixture.,Water methanol mixture.,Water ethanol mixture.,,Water methanol mixture.
Afterburning engine consists of the introduction and burning of fuel in:,An area behind the high pressure turbine.,An area behind the engine turbine.,An area behind the main combustion chamber.,,An area behind the engine turbine.
Afterburning engine will accelerate the airflow of:,The primary airstreams.,Secondary airstreams.,Both the primary and secondary airstreams.,,Both the primary and secondary airstreams.
What type of afterburner exhaust nozzles are used?,The variable−area exhaust nozzles.,The divergent exhaust nozzles.,The convergent exhaust nozzles.,,The variable−area exhaust nozzles.
Which of the ignition system in aft burner engine has NOT the igniter plug?,Catalytic ignition,Spark ignition,Hot shot ignition.,,Hot shot ignition.
Which of the ignition system in afterburner engine have the igniter plugs?,Catalytic ignition and hot shot ignition.,Catalytic ignition and spark ignition.,Spark ignition and hot shot ignition.,,Catalytic ignition and spark ignition.
Which component control propeller speed in normal operating mode?,Prop governor,Control handle,Fuel control unit,,Prop governor
Where does prop governor get signal to control propeller speed in Twin Lever Control engine?,Condition lever,Power lever,Condition lever and Power lever,,Condition lever
RPM range in normal operating mode?,60-90%,95-100%,70-85%,,95-100%
Which component control power in Twin Lever Control engine?,Power lever,Condition lever,Condition lever and Power lever,,Condition lever and Power lever
"In Single Lever Control engine, the lever system control?",Propeller speed,Engine power,Propeller speed and engine power,,Propeller speed and engine power
Propellers over-speed conditions cause damage to?,Blades,Blades and the blade supports,Blade support,,Blades and the blade supports
First action of Overspeed Protection?,Shutdown the engine,Move the blades into a more coarse position,Lock the blades from rotation,,Move the blades into a more coarse position
One of Overspeed Protection Principle?,Increase drag of the propeller,Decrease drag of the propeller,Lock the blades from rotation,,Increase drag of the propeller
Which is back-up component in overspeed protection system?,Over-speed governor,Temperature sensor,Oil pump,,Over-speed governor
One mean of Overspeed Protection?,Increasing the fuel flow to the engine combustor,Decreasing the fuel flow to the engine combustor,Shutoff the fuel flow to the engine combustor,,Decreasing the fuel flow to the engine combustor
On engines with a FADEC system and an electronic propeller control system,There is electrical shutoff module to control overspeed condition,There is no mechanical over-speed governor,There is still a mechanical over-speed governor used as a back-up,,There is still a mechanical over-speed governor used as a back-up
"In Twin Lever Control engine, there are:",1 power lever and 1 condition lever for each engine,1 lever to control both power and speed for each engine,No power lever,,1 power lever and 1 condition lever for each engine
How does power lever control engine power?,Giving signal to the engine power module,Giving signal to the engine power module and engine fuel control unit,Giving signals to the engine fuel control unit.,,Giving signals to the engine fuel control unit.
Range of blade angle in normal operating mode?,+25 degrees to +65 degrees,+14 degrees to +40 degrees,+40 degrees to +60 degrees,,+14 degrees to +40 degrees
Position of power lever?,"Maximum, flight idle, ground idle, reverse","Maximum, cruise, flight idle, ground idle, reverse","Maximum, cruise, ground idle, reverse",,"Maximum, flight idle, ground idle, reverse"
Components in TURBOPROP ENGINES,"Spinner, piston, cylinder, crosshead yoke, propeller","Spinner, compressor, handling bleed valve, crosshead yoke, propeller","Spinner, ACC valve, piston, cylinder, crosshead yoke, propeller",,"Spinner, piston, cylinder, crosshead yoke, propeller"
Why turboshaft engine’s output is measured in horsepower instead of thrust?,Power output is jet stream,Power output is a turning shaft,Power output contains jet stream and turning shaft,,Power output is a turning shaft
What is primary purpose for turboshaft engines in aviation?,Main powerplant for helicopters,Main powerplant for gyroplanes,Main powerplant for cargo aircraft,,Main powerplant for helicopters
What is purpose over-running clutches?,Disengage to free turn in case of flame out,Engage to lock shaft in case of overspeed,Allow for autorotation in case of power loss,,Allow for autorotation in case of power loss
What is purpose of helicopter transmission?,Reducing turbine shaft rotation at 35000 rpm to helicopter rotors at 300-400 rpm.,Increasing turbine shaft rotation at to 35000 rpm from helicopter rotors at 300-400 rpm.,Reducing helicopter rotors at 35000 rpm to turbine shaft rotation at 300-400 rpm.,,Reducing turbine shaft rotation at 35000 rpm to helicopter rotors at 300-400 rpm.
What is shaft system most turbine helicopters use to deliver power to the transmission?,Long shaft system,Middle shaft system,Short shaft system,,Short shaft system
What is purpose of flexible coupling?,Allows free movements between the engine(s) and the transmission.,Annul movements between the engine(s) and the transmission.,Allows for small movements between the engine(s) and the transmission.,,Allows for small movements between the engine(s) and the transmission.
Where is over-running clutch?,Located somewhere inside the engine,Located somewhere between the engine and the main rotor shaft,Located somewhere over the main rotor shaft,,Located somewhere between the engine and the main rotor shaft
What control power of helicopter engine?,Hand throttle (twist grip) built into the side collective stick,Power knob via control cable,Throttle pedal on the floor,,Hand throttle (twist grip) built into the side collective stick
What happen when raise collective stick?,Decrease engine power,Angle of attack of all rotor blades decrease at the same time,Angle of attack of all rotor blades increase at the same time,,Angle of attack of all rotor blades increase at the same time
What happen when angle of attack of all rotor blades increase?,The rotor assembly will tend to slow,The rotor assembly will tend to fast,The rotor assembly will remain speed,,The rotor assembly will tend to slow
What is purpose of APU?,Supplies pneumatic bleed air and electrical power for the different aircraft systems,Supplies reverse thrust and electrical power for the different aircraft systems,Supplies pneumatic bleed air and hydraulic power for the different aircraft systems,,Supplies pneumatic bleed air and electrical power for the different aircraft systems
Which component driven by APU gearbox?,"The fuel pump, the oil pumps, the compressor, the AC−generator","The fuel pump, the starter, the cooling fan, the AC−generator","The fuel pump, the oil pumps, the cooling fan, the AC−generator",,"The fuel pump, the oil pumps, the cooling fan, the AC−generator"
What is main purpose of the compressor of the power section?,Provide the air for the bleed system,Provide the air for the combustion,Drive gearbox,,Provide the air for the combustion
Why APUs with load compressors are very fuel efficient?,Because the load compressors always run at low power mode.,Because the load compressors can be switched off if bleed load is not required by the aircraft.,Because the load compressors only use electrical power for load mode.,,Because the load compressors can be switched off if bleed load is not required by the aircraft.
How inlet guide vanes work?,They work like modulating valve,They work like shutoff valve,They work like modulating and shut-off valve,,They work like modulating and shut-off valve
Where is The APU compartment?,Bulk cargo compartment,Aircraft tail section,Wing to body fairing,,Aircraft tail section
What is purpose of air intake flap diverter?,"Makes sure that fluids, which creep along the fuselage, enter the APU air intake.",Makes sure that fuel cannot enter the APU to prevent fire occur.,"Makes sure that fluids, which creep along the fuselage, cannot enter the APU air intake.",,"Makes sure that fluids, which creep along the fuselage, cannot enter the APU air intake."
What is main purpose of the air intake flap diverter?,Increases the APU ram air into the air intake,Decreases the APU ram air into the air intake,Block air from go into air intake in case of fire,,Increases the APU ram air into the air intake
What is function of the APU drain system?,Catch and drain fluids and leakages from critical APU areas,Drain water from air intake in ground maintenance,Drain APU oil in the accessory gear box.,,Catch and drain fluids and leakages from critical APU areas
How many mode APU operate?,1,2,3 ----HẾT---,,3 ----HẾT---
