Question,Option A,Option B,Option C,Option D,Correct Answer
Short wavelength electromagnetic radiation produced during the disintegration of nuclei of radioactive substances is called:,X-Radiation,Scatter radiation,Gamma radiation,,Gamma radiation
What differentiate the soldering types?,Working temperature,Voltage applied,Material,,Working temperature
What is used to remove chromium oxides?,Fluxes containing fluorine,Fluxes containing chlorua,Fluxes containing sulfur,,Fluxes containing fluorine
Oxides from which materials are hard to remove?,"Copper, aluminium, iron","Titanium, chromium, maganese","Silicon, iron, cadmium",,"Titanium, chromium, maganese"
The temperature for soft soldering can not exceed,450 degree Celsius,550 degree Celsius,750 degree Celsius,,450 degree Celsius
What is the range of normal soldering gap?,0.05 to 0.5mm,0.5 to 1.5mm,5 to 10mm,,0.05 to 0.5mm
What is the most common bad-wetting material?,Glass,Mercury,Copper,,Mercury
A flux is used in soldering to,Etch the metal surface for more adhesion,Remove or dissolve unwanted oxides or residues,Prevent corrosion,,Remove or dissolve unwanted oxides or residues
The minimum temperature for brazing high temperature solder material is,950,500,750,,950
Aluminium-silicon solders can be removed by,Using acetone,Using cold milk,Using hot water,,Using hot water
"In resistance brazing, how is the heat taken from?",Created by electrical resistance of the soldering area in the electrical circuit,The voltage applied through the circuit,By the potential difference,,Created by electrical resistance of the soldering area in the electrical circuit
What are used as heat sources for soldering process of infrared brazing?,Batteries,Magnets,Quartz lights,,Quartz lights
What makes embrittlement in nickel and certain nickel alloys?,Subject to the cold air,In contact with acid,Heated in the presence of sulphur or substances containing sulphur.,,Heated in the presence of sulphur or substances containing sulphur.
Which method of solder cannot be used for iron or nickel-base alloy,Nickel Solders,Copper-Phosphate Solders,Silver solders,,Copper-Phosphate Solders
How to know the solder connection area is clean,No visible signs of residual flux remain,Hold tightly in hand,Can rework properly,,No visible signs of residual flux remain
Which is considered as inert gases?,"Hydrogen, Oxygen, CO2","Argon, Helium, Nitrogen","Argon-Helium, Argon-CO2",,"Argon, Helium, Nitrogen"
At which angle are substances classified as substances with bad or no wetting ability?,Opening angle less than 90 degree,Opening angle more than 120 degree,Opening angle at 180 degree,,Opening angle less than 90 degree
Drawbacks of bonded joints?,Low heat resistance,Lower concentration of mechanical loads,Lower manufacturing costs,,Low heat resistance
A period of time needed for cure of cold age-hardening epoxy adhesives,48 hours,72 hours,26 hours,,26 hours
Which metal or alloy properties are to be used as solder for soldering?,It must melt and flow easily to ensure the distribution of the solder via capillary action,Its composition must be homogeneous and stable to prevent the separation of solid and fluid parts whilst soldering,It must melt and flow easily to ensure the distribution of the solder via capillary action. Its composition must be homogeneous and stable to prevent the separation of solid and fluid parts whilst soldering,,It must melt and flow easily to ensure the distribution of the solder via capillary action. Its composition must be homogeneous and stable to prevent the separation of solid and fluid parts whilst soldering
What is Function of Flux?,The Flux supports the melting and bonding process of solder and base material during the soldering process.,The Flux supports the reduced temp and bonding process of solder and base material during the soldering process.,Flux supports the rapid cooling of articles and facilities during welding.,,The Flux supports the melting and bonding process of solder and base material during the soldering process.
"For weight and balance, which one is the most important parameter?",Speed,CG,Strength of materials,,CG
Where you can find the W & B limitation?,MEL,FCOM,AOM,,AOM
Who made the actual datum location?,Manufacturer,Pilot,Engineer,,Manufacturer
Which one is the prime concern between the lateral and longitudinal balance?,None,Lateral,Longitudinal,,Longitudinal
"If the CG is too far aft (behind the stability limit of the aircraft manufacturer), what happen?",Nothing,A/C still Balance,Unstable related to the lateral-axis,,Unstable related to the lateral-axis
"If the CG is too far forward (forward the stability limit of the aircraft manufacturer), what happen?",A/C still Balance,Nothing,A/C would be uncontrollable,,A/C would be uncontrollable
Formula for computation of CG?,CG=∑M/∑T,CG=∑M/∑W,CG=∑M*∑W,,CG=∑M/∑W
Where you can find the empty weight CG?,AMM,WBR,LMM,,WBR
"Basic empty mass includes Water portable, it is right?",No,Yes,Not mentioned,,No
"Load capacity includes Pax, Pilots,…, it is right?",No,Yes,Not mentioned,,Yes
"To find out the CG, A/C must be …",Level,Jack at both Main LDGs,In Flight,,Level
"On large A/C (B747), How many method (ways) are used to level A/C?",1,2,3,,2
Weighing of Airplanes in accordance with EU-OPS-1 with which Subpart?,Subpart J,Subpart A,Subpart E,,Subpart J
"For single A/C, how often a periodically weighing should be done?",3 years,4 years,5 years,,4 years
"Preparation before weighing, which are the environment conditions require?",Clean and dry,Clean and clear,Clean only,,Clean and dry
"With modern airplanes, does the lubricant consumption affected to change of mass or CG during the flight?",Yes,No,Not mentioned,,No
A/C can do weighing process at outside Hangar?,Yes,No,"Yes, if no rain.",,No
A/C can do weighing process at inside Hangar?,"Yes, with Hangar's doors opened",No,"Yes, with all Hangar's doors closed",,"Yes, with all Hangar's doors closed"
Can you find out some parameters for weighing in TCDS?,No,Yes,Only CG range,,Yes
Who issued TCDS (Type Certificate Date Sheet)?,Manufacturer,FAA,Operator,,FAA
Do we need re-calculate and record the W&B after modification or additional equipment on aircraft?,Yes,No,Do not record,,Yes
The lever is balanced when the algebraic sum of the moments about the Datum is,Positive,Negative,Zero,,Zero
What is stand for MAC?,Measure Air Condition,Mean Aerodynamic Chord,Moment of Aircraft,,Mean Aerodynamic Chord
Where is MAC located?,Parallel to the longitudinal axis,Parallel to the vertical axis,Vertical to the wings,,Parallel to the longitudinal axis
Who calculate the length of the MAC?,Engineer,Manufacturer,Operator,,Manufacturer
Dry operating Mass includes ….,Usable Fuel,Traffic load,Potable water,,Potable water
Which is the most important thing have to care during taxi,Hazard zone,Wing walkers,Headset man,,Hazard zone
"During taxi in Maintenance area, do we need a headset man to communicate to pilot?",Yes,No,Wing walker do,,No
"During taxi/towing, what is a requirement for the brake man in cockpit?",Standing and watching,Seating without the seatbelt fastened,Seating with the seatbelt fastened,,Seating with the seatbelt fastened
"During towing A/C with the tractor, can we make a turn angle without care?",Yes,No,The max turning angle must care,,The max turning angle must care
What is the max speed during normal towing by the tow bar tractor?,25 km/h,20 km/h,10 km/h,,25 km/h
What is the max speed during normal towing by the towbarless tractor?,25 km/h,32 km/h,10 km/h,,32 km/h
"Generally all types of damages are checked for, but essentially the main types of defect being inspected for are:",Corrosion and metal fatigue,Crack,Metal fatigue only,,Corrosion and metal fatigue
Any cleaning fluids used should have been approved by?,Technical department,Base maint. center,The aircraft constructor,,The aircraft constructor
For cleaning the use of air jets should be:,Avoided,Mandatory,Recommended,,Avoided
General visual inspection (GVI) is made from within?,200 cm,100 inch,Touching distance unless otherwise specified,,Touching distance unless otherwise specified
General visual inspection may require removal or opening of?,Fairings,Doors and fairings,Access panels and doors,,Access panels and doors
"For detailed inspection aids such mirrors, magnifying lenses, etc. may be used and what may be required else?",Surface cleaning only,Elaborate access only,Surface cleaning and elaborate access,,Surface cleaning and elaborate access
What are Aids for Visual Examination?,Torches only,"Torches, Mirrors, Loupes, Borescope/Endoscope",Borescope/Endoscope only,,"Torches, Mirrors, Loupes, Borescope/Endoscope"
Which equipment may be required to gain proximity to the area being checked,Seat,"Stands, ladders, platforms",Table,,"Stands, ladders, platforms"
What may be required for special detailed inspection (SDI),Intricate cleaning and substantial access,Intricate cleaning only,Substantial access only,,Intricate cleaning and substantial access
Application of a visual Examination is only suitable for,Surface damages,Defects which move to the parts surface,Surface damages or defects which move to or along the parts surface,,Surface damages or defects which move to or along the parts surface
Causes/Main Groups of structural Damage,Mechanical only,"Mechanical, Chemical/electrochemical, Thermal, Inner metallurgical characteristics.",Thermal only,,"Mechanical, Chemical/electrochemical, Thermal, Inner metallurgical characteristics."
A structural damage report information have to be considered about:,"Location of damage, type of damage and extent of damage.",Location of damage only,Extent of damage only,,"Location of damage, type of damage and extent of damage."
Types of Damage at metal Structures,"Scratch, crack, dent, corrosion, debonding","Scratch, crack, dent, corrosion, gouge, burn mark","Scratch, crack, dent, corrosion, delamination",,"Scratch, crack, dent, corrosion, gouge, burn mark"
Types of Damages at Composite Structures,"Scratch, crack, debonding, abrasion, burn mark","Scratch, crack, dent, corrosion, gouge, nick","Scratch, crack, dent, corrosion, delamination",,"Scratch, crack, debonding, abrasion, burn mark"
Serious corrosion have been found:,Only in exposed parts of aircraft structures,Only in closed parts of aircraft structures,Both in closed and exposed parts of aircraft structures,,Both in closed and exposed parts of aircraft structures
All corrosion found must be immediately and completely removed because corrosion which remains will cause:,new corrosion and further decrease the strength of the structure,Paint damage,Sealant damage,,new corrosion and further decrease the strength of the structure
Corrosion can be found by the following methods of inspection:,"Visual, dye penetrant and ultrasonic only","Visual, dye penetrant, ultrasonic, eddy current, X−ray",Visual only,,"Visual, dye penetrant, ultrasonic, eddy current, X−ray"
How is a corrosion area on a metallic surface looked like,Dulled area,Darkened area,"A dulled or darkened area; white, grey or red dust or particles may also be observed.",,"A dulled or darkened area; white, grey or red dust or particles may also be observed."
"Paint bulging, paint peeling and a bulging in a gap between adjacent components are signs of",Corrosion,Paint damage,Sealant damage,,Corrosion
Two methods of paint removal are possible,Mechanical and chemical,Mechanical and electrical,Chemical and electrical,,Mechanical and chemical
The use of paint strippers is recommended where,The corrosion is heavy,The corrosion is light,The corrosion is heavy and covers a large area,,The corrosion is heavy and covers a large area
The use the mechanical method (e.g. grinding) is suitable where,The corrosion covers a large area,The corrosion is heavy and covers a large area,The corrosion is light and contained within a small area,,The corrosion is light and contained within a small area
Any fasteners located within the area of corrosion and affected by the corrosion must be,Removed,Not removed,Removed if its head paint damaged,,Removed
Any fasteners located within the area of corrosion and affected by the corrosion must be removed due to,Possible corrosion under the fastener head or in the countersink has to be detected and removed,Possible corrosion under the fastener head has to be detected and removed,Possible corrosion under the countersink has to be detected and removed,,Possible corrosion under the fastener head or in the countersink has to be detected and removed
Any rivets located within the area of corrosion and affected by the corrosion must be,Replaced,Repainted if its paint damaged,Inspected on its manufactured head and upset head,,Replaced
Corrosion removal grinding tools on aluminium components can be identified by:,Their black colour,Their red-brown colour,Their blue colour,,Their red-brown colour
What is mandatory/ important when using motor driven grinding wheels for corrosion removal on aluminium components,The use of safety goggles or face shield; no high temperatures on the component surface are created,The use of safety goggles or face shield,no high temperatures on the component surface are created,,The use of safety goggles or face shield; no high temperatures on the component surface are created
What is important for heavy corrosion removal by wire brushing on aluminium components,The wires have to be made out of corrosion resistant steel (CRES) and a grinding rework must be performed after brushing,A grinding rework must be performed after brushing,A grinding rework must be performed after brushing,,The wires have to be made out of corrosion resistant steel (CRES) and a grinding rework must be performed after brushing
Which document specifies limits of remained thickness of component after corrosion removal?,SRM,CDL,CDL and SRM,,SRM
On which metal component is found red iron rust,Carbon steel,Stainless steel and nickel chromium alloys,Stainless steel,,Carbon steel
What are suitable abrasives for steel/ titanium corrosion removal,Carbon silicide in green- blue colour,Aluminium oxide in brown red colour,Aluminium oxide in green colour,,Carbon silicide in green- blue colour
Corrosion on titanium alloy when it does occur is recognized:,Red oxide,A black or white coloured oxide,Green oxide,,A black or white coloured oxide
Why are some component of stainless steel and nickel chromium alloys painted?,Due to corrosion protection,Due to matching colour schemes of the surrounding structure,Due to identification,,Due to matching colour schemes of the surrounding structure
Purpose of checks after corrosion removal?,"Complete corrosion removal,",Hidden corrosion,"Complete corrosion removal, hidden corrosion, potential paths of cracks and remaining thickness",,"Complete corrosion removal, hidden corrosion, potential paths of cracks and remaining thickness"
What are functions of anodizing process on aluminium alloys,To increase the corrosion resistant properties of the metal and to give a good surface for the adhesion of the subsequent paint coats,To give a good surface for the adhesion of the subsequent paint coats,To give a good surface for the adhesion of the subsequent paint coats,,To increase the corrosion resistant properties of the metal and to give a good surface for the adhesion of the subsequent paint coats
What are type of pretreatment on steel alloys,"Cadmium plating, hard chromium or-nickel plating, phosphatisation",Chromic or sulphuric anodizing,Chemical conversion coating,,"Cadmium plating, hard chromium or-nickel plating, phosphatisation"
What is Boeing two layer system,Primer and wash primer,Topcoat and pretreatment,"Topcoat, primer and pretreatment",,"Topcoat, primer and pretreatment"
What is Airbus three layer system,"Topcoat, wash primer and pretreatment","Topcoat, primer and pretreatment","Topcoat, primer, wash primer and pretreatment",,"Topcoat, primer, wash primer and pretreatment"
What is primary function of wash primers FCR ( Filiform Corrosion Resistant ) in the interior structure?,As corrosion protection,As adhesion contact,As adhesion contact and corrosion protection,,As corrosion protection
What is primary function of wash primers FCR ( Filiform Corrosion Resistant ) in the outer structure?,As adhesion contact and corrosion protection,As adhesion contact,As corrosion protection,,As adhesion contact
How does curing time of primers FCR ( Filiform Corrosion Resistant ) change when temperature increases?,Decreases,Increases,Does not change,,Decreases
What layer is applied to wash primer,Intermediate primer,Topcoat,Nil,,Intermediate primer
Which characteristics of corrosion inhibitors are important for their effectiveness:,A good wetting ability only,Penetrating properties,A good wetting ability and penetrating properties,,A good wetting ability and penetrating properties
How does corrosion inhibitor work?,To make the surface in susceptible areas water-repellent,To make the surface in susceptible areas cleaned,To make the surface in susceptible areas water absorbing,,To make the surface in susceptible areas water-repellent
Where are corrosion inhibitors applied:,"Electrical connections, oxygen component","Silicon parts, piston rods","Landing gear well, under cargo floor interior",,"Landing gear well, under cargo floor interior"
Why does sealant ( sealing compound ) prevent corrosion on aircraft structure,Working like corrosion inhibitor,"Filling of gaps between riveted or bonded parts, to prevent the penetration of moisture and therefore corrosion",Working like temperature insulating material,,"Filling of gaps between riveted or bonded parts, to prevent the penetration of moisture and therefore corrosion"
Where are sealants used mainly on aircraft structure?,To seal fuel tanks and maintain cabin pressure,To seal fuel tanks only,To seal water tanks only,,To seal fuel tanks and maintain cabin pressure
Where are sealants used mainly on aircraft structure?,On non pressurized area only,On pressurized area only,"On non pressurized area, on pressurized area, on fuel tank area",,"On non pressurized area, on pressurized area, on fuel tank area"
Why are sealants used on the aircraft exterior?,Sealing the wing,Smoothing in order to increase the aerodynamic performance of wings or fuselage,Sealing the fuselage,,Smoothing in order to increase the aerodynamic performance of wings or fuselage
Cure Time of sealant is,Same as its tack free time,Less than its tack free time,approximately 2 to 3 times the tack free time,,approximately 2 to 3 times the tack free time
How do the wetting ability and therefore the adhesion of sealant change during tack free time,Both start to decrease,Both start to increase,The adhesion increases,,Both start to decrease
How long is a storage time of sealant e.g. PR 1422,6 months in the original packing under temperatures of 26C,6 months under temperatures of 18C,12 months,,6 months in the original packing under temperatures of 26C
B M S stands for,Business Material Specification,Boeing Material Specification,Boeing Material Service,,Business Material Specification
Wet Installation for rivet with Protruding head means:,Apply sealant to the underside of the head 10 minutes prior to installation,Apply sealant to the aboveside of the head immediately prior to installation,Apply sealant to the underside of the head immediately prior to installation,,Apply sealant to the underside of the head immediately prior to installation
Sealant removal or cutting tools should be made of,"Hardwood, plastic",Hard materials and hard metals,Plastic and hard metals,,"Hardwood, plastic"
All affected sealings in paint stripping area must be,Inspected,Repainted,Renewed,,Renewed
During repair of damaged sealant why remaining sealant to be tapered,The tapered surface allows a good adhesion of the new sealant,The tapered surface requires less quantity of the new sealant,The tapered surface requires less time,,The tapered surface allows a good adhesion of the new sealant
Why must the repaired surface be absolutely clean and degreased before applying new sealant,Due to providing a good adhesion of the new sealant,Due to inspection easier,Due to tack time shorter,,Due to providing a good adhesion of the new sealant
Where does mixing of sealing compound take a place,A well ventilated room,Inside the airplane,Any place,,A well ventilated room
Why is use rubber gloves and a respiratory protection required for mixing sealant,Sealing compounds are dirty,Sealing compounds are poisonous and can lead to personal injury,Sealing compounds are sticky,,Sealing compounds are poisonous and can lead to personal injury
Mix the sealing compound in a well ventilated room because,Sealing compounds are poisonous,Most sealing compounds are highly flammable in the unmixed form,"Most sealing compounds are highly flammable in the unmixed form, Sealing compounds are poisonous",,"Most sealing compounds are highly flammable in the unmixed form, Sealing compounds are poisonous"
What must be checked before sealing compound mixing process,The activator and the base compound is not over-aged,The activator and the base compound is not over-aged and from the same repair kit or batch,The activator and the base compound is not from the same repair kit or batch,,The activator and the base compound is not over-aged
Steps of hand mix process generally,"Stir accelerator thoroughly, add the entire accelerator to the base container and mix thorough until a uniform blend","Stir accelerator thoroughly, add the entire base to the accelerator container and mix thorough until a uniform blend",Put the entire accelerator to the base container and mix thorough,,"Stir accelerator thoroughly, add the entire accelerator to the base container and mix thorough until a uniform blend"
Cartridge Hand Mixing requires,Rotating dasher rod 90° in a spiral clockwise motion with each stroke,The total number of 50 strokes,The total number of 50 strokes and rotating dasher rod 90° in a spiral clockwise motion with each stroke,,The total number of 50 strokes and rotating dasher rod 90° in a spiral clockwise motion with each stroke
What chapter you will find out some abnormal events happen?,Chapter 5,Chapter 7,Chapter 10,,Chapter 5
What chapter you find out related information after lightning strike?,Chapter 27,Chapter 5,Chapter 32,,Chapter 5
What chapter you find out maintenance procedures after hard landing?,Chapter 12,Chapter 24,Chapter 5,,Chapter 5
"After severe or unusual Turbulence happened, which task you have to perform?",The structural inspection,Electrical Ops. Test,Steering ope. Test,,The structural inspection
"Avoid the Overweight landing, what procedures captain will do first?",Request divert and Landing at bigger airport,Dump Fuel,Request emergency fire car,,Dump Fuel
Which is the main cause of A/C damage after bird strike?,Altitude,Wind,High speed of A/C,,High speed of A/C
The regular maintenance carried out is based on the documents issued by the aircraft and equipment manufacturers. They can be as follow:,Maintenance Review Board Report (MRBR) and Maintenance Planning Data (MP,"Maintenance Review Board Report (MRBR), Maintenance Planning Data (MP","Maintenance Review Board Report (MRBR), Maintenance Planning Data (MPD), Maintenance Organization Exposition (MOE) and Regulatory Requirements",and Regulatory Requirements,"Maintenance Review Board Report (MRBR), Maintenance Planning Data (MP"
What does the maintenance schedule specify,Maintenance requirements for the aircraft as well as the maximum operating hours for aircraft components as required by regulatory authorities,Maintenance requirements for the aircraft,Maximum operating hours for aircraft components as required by regulatory authorities,,Maintenance requirements for the aircraft as well as the maximum operating hours for aircraft components as required by regulatory authorities
How does the aircraft operator ensure the effectivity of the maintenance procedures,Base on daily notification of aircraft manufacturer.,Continuously checking the maintenance schedule,Aircraft operator don't need to ensure the effectivity of the maintenance procedures,,Continuously checking the maintenance schedule
Which program are flight-hour sensitive,Structural Inspection Program,Systems Maintenance and Zonal Inspection Programs,"Structural Inspection, Systems Maintenance and Zonal Inspection Programs",,Systems Maintenance and Zonal Inspection Programs
In what are task intervals expressed,"Hours, cycles, calendar time, flight day","Hours, cycles, calendar time","Hours, cycles, calendar time or a letter check",,"Hours, cycles, calendar time or a letter check"
"Which rating authorizes to carry out maintenance work on aircraft and aircraft components (including engines / APU), provided those aircraft components are built in the aircraft.",A-Rating,B-1 / 3 -Rating,C-Rating ----HẾT---,,A-Rating
