Question,Option A,Option B,Option C,Option D,Correct Answer
Why say Corrosion of metals is the tendency to return to their natural state?,Because in nature metals exist in the form of alloys,"Because in nature, almost all metals exist in the form of noble metals, thus alloys tend to return to their metal oxides form","Because in nature, except some noble metals, almost metals do not exist in their pure form, exist only in the form of metal ores (oxides)",,"Because in nature, except some noble metals, almost metals do not exist in their pure form, exist only in the form of metal ores (oxides)"
What are the basic conditions for the formation of corrosion?,"Material, environment and the chemical reaction of material with environment","Material, inert gas and the chemical reaction of material with gas","Material, Oxygen and temperature",,"Material, environment and the chemical reaction of material with environment"
"In a mechanical joint between aluminum alloy and copper, which material will be corroded first","None of them, because they are corrosion resistance",Aluminum alloy,Cu,,Aluminum alloy
"Corrosion occurs when two dissimilar metals make electrical contact in the presence of an electrolyte, what is it?",Galvanic corrosion,Electrochemical Corrosion,Fretting Corrosion,,Galvanic corrosion
"There is a damage on the surface of the ALCLAD sheet, the depth of which exceeds 7% of the thickness of the metal sheet. If not repaired, what kind of corrosion is most likely to occur?",Intergranular Corrosion,Fretting Corrosion,Filiform Corrosion,,Intergranular Corrosion
Name one method of corrosion protection that uses electrochemical reactions,Electrolysis,Electroplating technique,Electrochemical,,Electroplating technique
Why aircraft fuselage structure joints use aluminum alloy rivets and not steel or monel rivets?,Because aluminum alloy rivets are easy to install,Because aluminum alloy rivets have better strength and less susceptible to corrosion than others,This will minimize corrosion due to the dissimilar metal of rivets and aircraft structures,,This will minimize corrosion due to the dissimilar metal of rivets and aircraft structures
"When there is corrosion on aircraft structures, what are its consequences?",The Aircraft is inoperable,"Aircraft structures are reduced mechanical strength, functional impairment or destroyed if these damaged structures are not repaired appropriately",The aircraft is not allowed to operate until the damaged structures are replaced,,"Aircraft structures are reduced mechanical strength, functional impairment or destroyed if these damaged structures are not repaired appropriately"
"During routine aircraft maintenance, a fuel sample is usually taken for inspection. One of the purposes of this is to prevent corrosion in the fuel tank. Why?",Because in the fuel tank may have water and microorganisms can grow in the tank. This will cause corrosion of the fuel tank structure,"Because the fuel in the tank can be mixed with the electrolyte solution, leading to electrochemical corrosion","Because the fuel in the tank can change its chemical structure, turning it into structural corrosive substances",,Because in the fuel tank may have water and microorganisms can grow in the tank. This will cause corrosion of the fuel tank structure
"In 2 metal joints: 1 - between aluminum alloy 2024 and tin, 2 - between 2024 and Zinc. In which joints aluminum alloy 2024 will be corroded first after a period of working time",In the joint between 2024 and Tin,In the joint between 2024 and Zinc,None of them,,In the joint between 2024 and Tin
How many part of the Hi-Lok and Hi-Lite (pin threaded) fastener:,"There are one parts: Collar with an internal thread, an external hexagonal drive and an external",There are one parts: Threaded pin with a head (universal or countersink),"There are two parts: Threaded pin with a head (universal or countersink) and collar with an internal thread, an external hexagonal drive and an external shear groove",,"There are two parts: Threaded pin with a head (universal or countersink) and collar with an internal thread, an external hexagonal drive and an external shear groove"
Pin (threaded) fasteners are usually installed in interference-fit holes?,TRUE,FALSE,Not given,,TRUE
A clearance fit hole (unless specified differently) must be used if one or more of the structural members to be attached are made of?,Aluminum alloy,"Steel, Stainless steel, Titanium",Application for all material,,"Steel, Stainless steel, Titanium"
Can install the pin (threaded) fasteners with power or hand tools?,Not allow,Just hand tools,"Yes, depending on the position the power/hand tools can access.",,"Yes, depending on the position the power/hand tools can access."
When blind rivets which are used for repair work on the aircraft?,"At the locations in an aircraft structure, which are need the heavy load","At the locations in an aircraft structure, which are need the light load","At the locations in an aircraft structure, which are very hard to reach for riveting - it is impossible to set a rivet snap at the other site of the rivet",,"At the locations in an aircraft structure, which are very hard to reach for riveting - it is impossible to set a rivet snap at the other site of the rivet"
How to identify material and type of solid rivets are identified by?,Symbol and shape on head of rivet,Shape of rivet,Length of rivet,,Symbol and shape on head of rivet
Which type of solid rivet may used in tank sealing rivets?,Type A- and DD rivets,Type A- and AD rivets,Type AD- and DD rivets,,Type AD- and DD rivets
Which symbol on TAPER-LOK HEAD MARKS is Heat Resistant Alloy?,HB,CB,H,,CB
Which symbol on TAPER-LOK HEAD MARKS is 6Al4V Titanium Alloy?,HB,V,H,,V
A Lockbolt (pin swaged) fastener is a two-piece assembly consisting of:,A pin with a protruding or countersink head,A collar,A pin with a protruding or countersink head and a collar,,A pin with a protruding or countersink head and a collar
Which type of fit are used to install Lockbolt pins in thin structure?,Clearance fit,Transitionfit,Interference Fit,,Clearance fit
Which type of fit are used to install Lockbolt pins in thick structure?,Clearance fit,Transitionfit,Interference Fit,,Clearance fit
Which type of fit are used to install Lockbolt pins in any structure?,Interference Fit,Transitionfit,Interference or transition fit,,Interference or transition fit
What are rivets made of US material 1100 used for?,Attach aluminium alloy components where a high−strength rivet,Attach aluminium alloy components where a low−strength rivet is sufficient to hold the load.,Attach aluminium alloy components where a normal−strength rivet is sufficient to hold the load.,,Attach aluminium alloy components where a low−strength rivet is sufficient to hold the load.
Do Monel rivets need to be heat treated before use?,No,Yes,Not given,,No
Monel rivets are used on which material?,Steel riveted assemblies,"Steel, titanium or aluminium alloy riveted assemblies",Steel or aluminium alloy riveted assemblies,,"Steel, titanium or aluminium alloy riveted assemblies"
Do Titanium rivets need to be heat treated before use?,No,Yes,Not given,,No
A commonly-used rule of thumb for selecting the rivet size is to choose a rivet whose diameter is?,At least 2 times the thickness of the thickest sheet being joined.,At least 2.5 times the thickness of the thickest sheet being joined.,At least 3 times the thickness of the thickest sheet being joined.,,At least 3 times the thickness of the thickest sheet being joined.
How many head types of Solid Rivets?,12,11,10,,11
Symbol of solid rivet 2017 Aluminium Alloy (AD)?,They are identified by two raised dashes on their heads.,A raised dot in the centre of their head.,A small dimple in the centre of their head,,A small dimple in the centre of their head
Symbol of solid rivet 2017 Aluminium Alloy (D)?,They are identified by two raised dashes on their heads.,A small dimple in the centre of their head,A raised dot in the centre of their head.,,A raised dot in the centre of their head.
Symbol of solid rivet 2024 Aluminium Alloy (DD)?,A raised dot in the centre of their head.,A small dimple in the centre of their head,They are identified by two raised dashes on their heads.,,They are identified by two raised dashes on their heads.
Symbol of Titanium rivets are identified on their head?,Titanium rivets are identified by a raised V or T on their head,A small dimple in the centre of their head,A raised dot in the centre of their head.,,Titanium rivets are identified by a raised V or T on their head
Symbol of Corrosion Resistant Steel rivets are identified on their head?,No mark,A small dimple in the centre of their head,A raised dot in the centre of their head.,,No mark
"When remove solid rivet, you must drill-out on?",Manufacture head,Upset head,Any direction head you can access,,Any direction head you can access
"When remove Hi Lok/Hilite, you must?",Drill on manufacture head,Upset head,Loosen Collar/nut and then punch out the rivet or drill any direction head you can access,,Loosen Collar/nut and then punch out the rivet or drill any direction head you can access
Working pressure of HP-Tubes is?,Above 1500 PSI,Above 1800 PSI,Under 1500 PSI,,Above 1500 PSI
What material principally made of lines in the engine area and in the landing gear area?,Aluminum,Steel,Titanium,,Steel
The MS-Fitting consists of?,"A fitting, a sleeve and a union nut","A fitting, a bolt and a union nut","A fitting, a sleeve and a flare nut",,"A fitting, a sleeve and a union nut"
How many types of Harrison-Type-Fittings?,1,3,2,,2
What is construction of hose include?,"The inner layer, the reinforcement layer and the outer cover",The reinforcement layer and the outer cover,The inner layer and the outer cover,,"The inner layer, the reinforcement layer and the outer cover"
What size of the inner diameter of hoses is usually given in?,1/8 inch,1/16 inch,1/4 inch,,1/16 inch
What is a spring?,Is an engineering component which when deflected by a force tends to return to its unloaded shape,Is an engineering component which when deflected by a force tends to keep to its unloaded shape,Is an engineering component which when deflected by a force tends to return to its loaded shape,,Is an engineering component which when deflected by a force tends to return to its unloaded shape
How many classes of metal springs have?,1,3,2,,3
Which spring are used to apply a fixed load throughout their life?,High Duty Springs,Static Load Springs,General Duty Springs,,Static Load Springs
Which spring can produce tensional and torsional movement?,Wireform Springs,Torsion Springs,Compression Springs,,Wireform Springs
Which material of spring can be used for high temperatures up to 343 degrees Celsius?,Alloy Steel Wire,Stainless Steel Wire,High−Temperature Alloy Wire,,Stainless Steel Wire
How is compression springs work?,By resisting compressive force,By resisting externally applied torque,By their initial tension resisting the pulling force to which their ends are attached,,By resisting compressive force
What is/are main function(s) of bearing?,Used to support the journals of shafts,Used to support the journals of axles,Used to support the journals of shafts and axles,,Used to support the journals of shafts and axles
What are 02 types of bearings?,Pivot bearings and axial bearings,Axial bearings and journal bearings,Journal bearings or roller bearings,,Axial bearings and journal bearings
What are 02 kinds of bearings loading?,Radial and thrust,Axial and thrust,Radial and axial,,Radial and thrust
How many types of anti−friction bearings?,3,4,5,,5
Construction of an anti-friction bearing consists of?,"The outer and inner raceway, the rolling element and usually a rolling element cage","The inner raceway, the rolling element and usually a rolling element cage","The outer raceway, the rolling element and usually a rolling element cage",,"The outer and inner raceway, the rolling element and usually a rolling element cage"
What is/are material of the anti friction bearing raceways and rolling elements?,Chromium steel or chromium nickel steel,Chromium steel or titanium nickel steel,Aluminum or chromium nickel steel,,Chromium steel or chromium nickel steel
Which load(s) the tapered roller bearing can handle?,Radial and axial loads,Axial and thrust loads,Radial and thrust loads,,Radial and thrust loads
Which bearing combines the benefits of all the other bearing types as well as offering additional advantages?,Spherical roller bearing,The tapered roller bearing,The ball bearing,,The tapered roller bearing
Which bearing have a ’point’ contact between the balls and the races?,Spherical roller bearing,The tapered roller bearing,The ball bearing,,The ball bearing
Which bearing distributes the load over the length of the roller (line contact)?,Spherical roller bearing,The tapered roller bearing,The ball bearing,,The tapered roller bearing
Where is chains may be used in?,Control runs or in conjunction with cable assemblies,In conjunction with cable assemblies,Control runs,,Control runs or in conjunction with cable assemblies
Where may chains be found in?,"Control Column Installations, Elevator Controls and Trim Control Systems","Control Column Installations, Aileron and Elevator Controls and Trim Control Systems","Control Column Installations, Aileron and Trim Control Systems ----HẾT---",,"Control Column Installations, Aileron and Elevator Controls and Trim Control Systems"
