Question,Option A,Option B,Option C,Correct Answer
902. A multiplexer is defined as a device which,combines several inputs into a single output,sparate a input into serveral outputs,converts the discretes signal to hexadecimal data words,combines several inputs into a single output
903. In multiplexer circuit. Any of the eight input lines can be selected by the use of,Only one address line,three address lines,eight address lines,three address lines
904. In Multiplexer the discretes inputs usually have to be converted to binary data words to be used by,the converter,the controller,the processor,the processor
905. A demultiplexer is defined as a device which,combines several inputs into a single output,takes data from one source and distributes it according to some pattern into several output lines,converts the discretes signal to to binary data words,takes data from one source and distributes it according to some pattern into several output lines
906. All analog outputs of a digital computer need to be,a varying signal,a discrete signal,a digital signal,a varying signal
907. In Demultiplexer circuit. If all three address lines are 0. The bit out is,0,1,7,0
908. In Demultiplexer circuit. If all three address lines are 1. The bit out is,0,1,7,7
909. A 12 bit 16 Channel encoder will use a multiplexer with,3 bit parallel address line,4 bit parallel address line,2 wire series address line,4 bit parallel address line
910. The output signal of Multiplexer is,Binary data words,Analogue signal,Discrete signal,Binary data words
911. The address lines are controlled by,the controller,the addresser,the processor,the processor
"912. Depending on the application, the single output pulse of Multiplexer may be used",directly by the computer,directly by the computer or by sequencing the address lines,by sequencing the address lines,directly by the computer or by sequencing the address lines
913. At output of Multiplexer. Which data word can be generated?,a serial data word,a parallel data word,Both serial and parallel data words,a serial data word
915. Which following statement is correct with Multiplexer?,Parallel data word could be changed to a serial word with a parallel to serial converter,Serial data word could then be changed to a parallel word with a parallel to serial converter,Serial data word could then be changed to a parallel word with a serial to parallel converter,Serial data word could then be changed to a parallel word with a serial to parallel converter
916. What is serial to parallel and vice-versa called?,Switching,Multiplex/Demultiplex,Encoder/Decoder,Multiplex/Demultiplex
917. The Demultiplexer circuit with three address lines and eight output lines is called,a three-line to eight-line encoder,a three-line to eight-line decoder,an eight-line to three-line decoder,a three-line to eight-line decoder
"918. In Demultiplexer circuit, the serial line acts as",an enable function and the circuit is called a decoder,an enable function and the circuit is called a encoder,a disenable function and the circuit is called a decoder,an enable function and the circuit is called a decoder
919. If the serial data is to be routed to the correct output. Which must be timed correctly with the serial data?,The input lines,The output lines,The address lines,The address lines
920. Another way to use Demultiplexer circuit is,to set the parallel lines high all the time,to set the serial line high all the time,to set the input lines high all the time,to set the serial line high all the time
921. The output line of Demultiplexer is selected by the address lines to,enable the selected gate if the serial data bit is high,Disable the selected gate if the serial data bit is high,enable the selected gate if the serial data bit is low,enable the selected gate if the serial data bit is high
922. Fibre optic cables,are immune to EMI (Electromagnetic Interference),attenuate EMI,are susceptible to EMI,are immune to EMI (Electromagnetic Interference)
923. A disadvantage of a fibre optic cable is,Couplings susceptible to ingress of fluid,Shallow bend radius allowed,Terminations require special care,Terminations require special care
924. What is the main disadvantage of a fibre optic data bus?,Less strong and durable when compared to twisted pair and coaxial cable,Multiple connections are economically impractical,Bend radius and moisture ingress at connections,Multiple connections are economically impractical
925. What kind of light is used in a fibre optic systems?,Infrared,Visible,Ultraviolet,Infrared
926. Light travels along a fibre optic by,refraction,reflection,dispersion,reflection
927. What is the advantage of a single mode fibre optic over ordinary wire?,Not prone to damage,Small bend radius,Large bandwidth,Large bandwidth
928. Step index multi-mode fibres have,a relatively large core enabling a large number of modes to move,a small core in which many modes are dispersed,an extremely small core,a relatively large core enabling a large number of modes to move
929. Conversion of electrical signals into light signals is accomplished by,an optical receiver,an optical transmitter,a digital transmitter,an optical transmitter
930. the Onboard Local Area Network consists of,A Primary Ring (PRI) and A Secondary Ring (SEC),An World Wide Local Area Network (WWLAN) and A Cabin Local Area Network (CABLAN),An Avionics Local Area Network (AVLAN) and A Cabin Local Area Network (CABLAN),An Avionics Local Area Network (AVLAN) and A Cabin Local Area Network (CABLAN)
931. Some of the advantages of fibre optic cable over copper cables are,"Non conductive, easy to manufacture and assemble, more robust, cheap","Less weight, unaffected by EMI/EMP, more tolerant of mechanical and environmental abuse","Non conductive, smaller in size and weight, easy to manufacture and assemble and higher security","Less weight, unaffected by EMI/EMP, more tolerant of mechanical and environmental abuse"
932. A fibre optic cable consists of,Core and cladding have different refractive index,A silica glass core with a cladding having a lower refractive index,A silica glass core with a cladding having a higher refractive index,Core and cladding have different refractive index
933. Light transmission in a fibreoptic cable is due to,refraction of the light,defraction of the light,repeated internal reflection,repeated internal reflection
934. What is the advantage of a single mode fibre optic over ordinary wire?,Not prone to damage,Small bend radius,Large bandwidth,Large bandwidth
935. A fiberoptic cable to LRU connector should be connected,very carefully to ensure alignment and reduce light loss,using torque-loaded pliers,hand tight only,very carefully to ensure alignment and reduce light loss
936. What maintenance problems are associated with fibreoptics?,Corrosion,Deformation and contamination of connectors,Earthing faults,Deformation and contamination of connectors
