Question,Option A,Option B,Option C,Option D,Correct Answer
Can VAR Part 5 approved maintenance organization fabricate aircraft part?,"Yes, but a restricted range of parts to be used in the course of undergoing work within its own facilities.","No, only organization approved under VAR Part 21.","Yes, but a restricted range of parts to be used in the course of undergoing work within its own facilities and to be sold to operators.","Yes, but a restricted range of parts and released by the CAAV Form 1.","Yes, but a restricted range of parts to be used in the course of undergoing work within its own facilities."
How long does an approved organisation have to retain maintenance records?.,Five years after aircraft leaves service or is scrapped.,Three years from the date the aircraft or component to which the work relates was released from the organisation.,Three years after the organisation has released the aircraft and Five years after the aircraft has been scrapped.,Two years from the date the aircraft or component to which the work relates was released from the organisation.,Two years from the date the aircraft or component to which the work relates was released from the organisation.
"A situation is found which could hazard an aircraft, while it is undergoing maintenance by a Part- 145 organisation. The situation must be reported within.",48 hours.,24 hours.,72 hours.,96 hours.,72 hours.
The organisation shall establish a quality system that includes the following:,Independent audits and quality feedback reporting system,Independent audits and internal occurrence reporting system,Independent inspection and internal closed-loop reporting system,Hazard indentification and Risk management.,Independent audits and quality feedback reporting system
‘Maintenance organization exposition’ means the document or documents that:,Showing how the organization intends to comply with VAR Part 5 and is not approved by the CAAV.,Contain the material specifying the scope of work deemed to constitute approval and showing how the organization intends to comply with VAR Part 5.,contain the material specifying the scope of work deemed to constitute approval and is not approved by the CAAV.,Contain set of procedure approved by the accoutable manager.,Contain the material specifying the scope of work deemed to constitute approval and showing how the organization intends to comply with VAR Part 5.
The VAR Part 5 approved maintenance organisation shall be entitled to carry out the:,Maintain any aircraft and/or component for which it is approved at the locations identified in the approval certificate and in the exposition.,Maintain any aircraft and/or component for which it is approved at the locations identified in the approval certificate.,Maintain any aircraft and/or component for which it is approved at the locations identified in the exposition.,Maintain any aircraft and/or component for which it is approved at any locations requated by the customer.,Maintain any aircraft and/or component for which it is approved at the locations identified in the approval certificate and in the exposition.
The organisation shall only maintain an aircraft or component for which it is approved when,"all the necessary facilities, equipment, tooling, material, maintenance data and certifying staff are available.","all the necessary facilities, equipment, tooling, material are met requirements specified in VAR Part 5 and certifying staff are met requirements specified in VAR Part 7.",there is permitted by the competent authority.,there is permitted by the customer.,"all the necessary facilities, equipment, tooling, material, maintenance data and certifying staff are available."
An approval certificate for maintenance organization,shall valid in 1 years,shall valid in 2 years,shall valid in 3 years,shall be issued for an unlimited duration.,shall valid in 1 years
How many items can be released by one Authorised Release Certificate CAAV Form 1,unlimited items providing they are identical part numbers.,unlimited items with different part numbers.,only one item entered onto it.,the limitation to 10 items.,unlimited items with different part numbers.
"When completion of maintenance including component replacement, which of the followings is issued?",Certificate of maintenance review.,Maintenance Release.,A maintenance statement.,CAAV form 1.,Maintenance Release.
Which is the definition of the authorised release certificate CAAV form 1:,an issued from the tech log prior to the flight.,an CAAV approved aircraft parts release document issued by approved organisations.,a document used to return or release unserviceable components from the aircraft.,an international aircraft parts release document issued by approved organisations.,an CAAV approved aircraft parts release document issued by approved organisations.
"How many level of aviation accidents, incidents and occurrences:",5 levels,6 levels,7 levels,8 levels,5 levels
When the VAR Part5 organization completes the overhaul of an aircraft part.,the maintenance records with a certified CRS are retained by the AMO and a copy of CAAV Form 1 is issued to the customer.,the Worksheets with a certified CRS are placed in the aircraft file with the log books.,the Worksheets are retained by the overhaul organization in their own files.,the Worksheets with a certified CRS and a CAAV Form 1 is issued to the customer.,the maintenance records with a certified CRS are retained by the AMO and a copy of CAAV Form 1 is issued to the customer.
Maintenance release statement issued by a VAR Part-5 organisation is prescribed in,VAR Part 20.,VAR Part 4.,"Appendix 1 to VAR Part 5, 5.150(b).",VAR Part 7.,"Appendix 1 to VAR Part 5, 5.150(b)."
Authorisation for an AMT licence holder in VAR Part 5 AMO is issued by?,The CAAV.,VAR Part 5 approved oganization.,VAR Part 9 approved oganization. VAR Part 20 approved oganization.,,VAR Part 5 approved oganization.
VAR Part 5 approved organisation must perform the independent audit of a department with minimum frequency of once every:,6 months.,12 months.,24 months.,36 months.,12 months.
The VAR Part 5 AMO Certificate is issued for:,12 months from the date of issue.,24 months from the date of issue.,36 months from the date of issue.,no limitation.,12 months from the date of issue.
What is issued after a mandatory inspection has been carried out?,A Flight Release Certificate.,A Certificate of Maintenance Review.,Maintenance release.,Maintenance statement.,Maintenance release.
"As required by VAR Part 5, a maintenance release is required",At the completion of any maintenance on an aircraft component when off the aircraft .,At the completion of any maintenance on an aircraft component when installed on the aircraft.,Before the completion of any package of maintenance scheduled by the approved aircraft maintenance programme on the aircraft.,Before the completion of any defect rectification before the flight.,At the completion of any maintenance on an aircraft component when off the aircraft .
What is class 1 aircraft rating issued for an AMO.,To maintain an aircraft with over 13610 kg MTOM.,To maintain an aircraft over 2730 kg MTOM.,To maintain an aircraft over 5700 kg MTOM.,To maintain an aircraft less than 5700 kg MTOM.,To maintain an aircraft less than 5700 kg MTOM.
VAR Part 7 licensed AMT category B2 can,Performing and return to service maintenance work on avionic and electric system,Performing and return to service maintenance work on electronic system only,"sign completion of maintenance after performing maintenance work on the aircraft structure, systems and propulsion systems engine and electric",sign completion of maintenance after implementation maintenance work planned on aircraft,Performing and return to service maintenance work on avionic and electric system
Maintenance function can be contracted by an AMO to,any organization.,An EASA part 145 approved organization.,An FAA part 145 approved organization.,any non-approved organization that is listed in AMO Maintenance Organisation Exposition,any non-approved organization that is listed in AMO Maintenance Organisation Exposition
What contain in VAR Part 5,Requirements for an organization that intend to provide maintenance service on Vietnam registered aircraft.,applies to all Vietnam Aircraft.,Requirements for training organization.,Requirements for production organization.,Requirements for an organization that intend to provide maintenance service on Vietnam registered aircraft.
VAR Part 5 approved organization is required to retained maintenance record for a period of,3 years after the aircraft component is permanently removed from service or destroyed.,2 years from the date the aircraft or aircraft component was released from the VAR Part 5 approved maintenance organization.,5 years after the aircraft or aircraft component has been destroyed or permanently removed from service.,2 years after the aircraft or aircraft component has been destroyed or permanently removed from service.,2 years from the date the aircraft or aircraft component was released from the VAR Part 5 approved maintenance organization.
Personnel requirements for organizations approved to perform maintenance on commercial transport aircraft are specified in,VAR Part 5.,VAR Part 4.,VAR Part 7.,VAR Part 9,VAR Part 5.
"An examination of an aircraft component to confirm conformity with a standard approved by CAAV is described in the CAAV Form 1, as",replacement.,inspection.,overhaul.,inspection.,inspection.
AMT catergory B1 can,Perform and return to service maintenance work on avionic and electric system.,Perform and return to service maintenance work on avionic system.,"Perform and return to service maintenance work on the aircraft structure, systems and propulsion systems engine and electric system.",Perform and return to service maintenance work planned on aircraft.,"Perform and return to service maintenance work on the aircraft structure, systems and propulsion systems engine and electric system."
Aircraft maintenance technician must be.,18 and older.,There is no Age limitation.,21 and older.,20 and older. ----HẾT---,18 and older.
