Question,Option A,Option B,Option C,Correct Answer
1852. RMP can select frequency for,"VHF, HF, VOR","VHF, HF","ADF, VOR","VHF, HF"
1853. The active frequency on RMP1 is,The same on RMP 2,The same on RMP 3,The same on RMP 3 and RMP2,The same on RMP 3 and RMP2
1854. To establish a connection to a VHF ground station,You transmit your request to the station.,First you must make sure that no actual communication to that station is in progress,You activate one of the push−to−talk switches,First you must make sure that no actual communication to that station is in progress
1855. The HF communication system is used for,Long distance communication,Short distance communication,Communication around the world,Long distance communication
1856. The HF radio signals can reach areas outside the line of sight thanks to,The SATCOM,The ionosphere,The Sky wave,The ionosphere
1857. HF antenna is usually located,On the upper fuselage,In the leading edge of the vertical stabilizer,On the lower fuselage,In the leading edge of the vertical stabilizer
1858. An antenna coupler is needed,To amplify the transmitting signal,To tune the antenna to the selected VHF−frequency,To tune the antenna to the selected HF−frequency,To tune the antenna to the selected HF−frequency
1859. The antenna coupler is installed,In the avionics bay,Near the antenna.,Near the transceiver,Near the antenna.
1860. The HF frequency range is from,2 MHz to about 25 MHz,2 kHz to about 25 MHz,2 KHz to about 25 KHz,2 MHz to about 25 MHz
1861. To start antenna coupler tuning,Activate the frequency on the RMP,Press briefly one of the push−to−talk switches for the first time,Press and hold one of the push−to−talk switches,Press briefly one of the push−to−talk switches for the first time
"1862. Normally, ACARS uses",VHF3 or SATCOM,VHF2 or SATCOM,VHF2 or VHF3,VHF3 or SATCOM
1863. ACARS transmits and receives,Automatic downlink reports and manual up link,Either automatic or manual reports,Automatic downlink reports and auto up link,Either automatic or manual reports
"1864. OUT, OFF, ON, IN are",Manual reports,Manual downlink reports,Automatic reports,Automatic reports
1865. To use VHF3 for ACARS,You select the frequency on the RMP,You select the frequency on the ACP,ACARS frequency is automatically selected,ACARS frequency is automatically selected
1866. From the ACARS maintenance page you can,Select information about part numbers of the system,"Check OUT, OFF, ON and IN downlinks",Select information about the ACARSfrequencies,Select information about part numbers of the system
1867. The SATCOM system can be used for,ACARS and VHF communications,"ACARS, cockpit and passengers communications",ACARS and HF communications,"ACARS, cockpit and passengers communications"
1868. A typical SATCOM system has,"A satellite data unit, a radio frequency unit, a high power amplifier, a low noise amplifier and diplexer, beam steering unit and MCDU","A satellite data unit, a radio frequency unit, a high power amplifier, a low noise amplifier and diplexer, beam steering unit and ACARS","A satellite data unit, a radio frequency unit, a high power amplifier, a low noise amplifier and diplexer, beam steering unit and an antenna","A satellite data unit, a radio frequency unit, a high power amplifier, a low noise amplifier and diplexer, beam steering unit and an antenna"
1869. The SATCOM system uses,Either 2 top mounted or 1 side mounted antennas on the upper part of the fuselage,Either 1 top mounted or 2 side mounted antennas on the upper part of the fuselage,Either 2 top mounted or 2 side mounted antennas on the upper part of the fuselage,Either 1 top mounted or 2 side mounted antennas on the upper part of the fuselage
1870. ELTs help,Search−and−rescue crews to find aircraft that accidentally land away from an airport or ditch into water.,Investigate in case of aircraft accident,Record flight data and voice data,Search−and−rescue crews to find aircraft that accidentally land away from an airport or ditch into water.
1871. ELT type can be,Fixed transmitter in the upper aft section of the aircraft fuselage,Fix or portable,Either a buoyant type or a handheld transmitter,Fix or portable
1872. ELTs transmit 2 radio signals on international emergency frequencies,One signal at the VHF frequency and the other at the LHF frequency,One signal at the VHF frequency and the other at the HF frequency,One signal at the VHF frequency and the other at the UHF frequency,One signal at the VHF frequency and the other at the UHF frequency
1873. ELT transmits an additional signal contains information about,The aircraft type and tail−sign and if available also the last known present position,Tail−sign and if available also the last known present position,The aircraft type and tail−sign,The aircraft type and tail−sign and if available also the last known present position
1874. The buoyant type ELT becomes active when,An internal g−switch detects certain an acceleration,The battery comes in contact with water or when a small pin is removed from the battery,The battery comes in contact with water or an internal g−switch detects certain an acceleration,The battery comes in contact with water or when a small pin is removed from the battery
1875. The fixed ELT is automatically activated by,The battery comes in contact with water or an internal g−switch.,The battery comes in contact with water or when a small pin is removed from the battery,An internal g−switch or manually from the cockpit,An internal g−switch or manually from the cockpit
1876. Radio navigation systems,Use the radio signals from ground stations to help the pilot to navigate the aircraft.,Use the radio signals from ground stations to help the pilot to find position of the aircraft.,Use the air data to help the pilot to navigate the aircraft.,Use the radio signals from ground stations to help the pilot to navigate the aircraft.
1877. Two Radio systems are used for enroute navigation,ADF and ILS,ADF and VOR,VOR and DME,ADF and VOR
1878. ILS,Is used for enroute navigation,Gives information in poor visibility.,Gives information to land the aircraft in poor visibility.,Gives information to land the aircraft in poor visibility.
1879. ILS has three subsystems:,"Localizer, Glide Slope and Marker Beacon","Localizer, Glide Slope and DME","Glide Slope, Marker Beacon and DME","Localizer, Glide Slope and Marker Beacon"
1880. Instrument Flight Rules means,Flying in good weather conditions,"Flying without visual ground references, day and night, or in bad weather conditions",Flying with visual ground references,"Flying without visual ground references, day and night, or in bad weather conditions"
1881. The earth has 2 north poles,"One is the geographical north pole, the other is the calculated north pole","One is the geographical north pole, the other is the true north pole","One is the geographical north pole, the other is the magnetic north pole","One is the geographical north pole, the other is the magnetic north pole"
1882. Heading is,The direction in which the nose of the aircraft is pointing,The direction in which the aircraft is moving,The direction in which the aircraft plans to move,The direction in which the nose of the aircraft is pointing
1883. Drift is,The wind direction,Difference between track and heading,Difference between true heading and track,Difference between track and heading
1884. Bearing is,The direction from the aircraft position to the true north,The direction from the aircraft position to the magnetic north,The direction from the aircraft position to an object,The direction from the aircraft position to an object
1885. Radio navigation receivers can be tuned,Automatically or manually by RMP,"Automatically, manually or by RMP",Automatically from MCDU or manually by RMP,"Automatically, manually or by RMP"
1886. The ADF receiver calculates,The relative bearing,Magnetic heading,Magnetic bearing,The relative bearing
1887. The ADF provides information to,ND and to the PFD,RMI and to the navigation display,RMI and to the PFD,RMI and to the navigation display
1888. Three types of ground stations can be used for ADF navigation,"Non Directional Beacons, Locators or Public Radio Stations","Non Directional Beacons, Marker or Public Radio Stations","ATC, Marker or Public Radio Stations","Non Directional Beacons, Locators or Public Radio Stations"
1889. The ADF antenna contains two parts,Loop and magnetic part,Loop and sense part,Sense and electric part,Loop and sense part
1890. ADF finds the direction to the station by,Signals from loop antenna,Signals from sense antenna,Combine the signals from loop and sense antenna part,Combine the signals from loop and sense antenna part
1891. VOR stands for,VHF One Range,VHF Operation Range,VHF Omnidirectional Range,VHF Omnidirectional Range
1892. VOR station transmits,Directional signals.,Both omni and directional signals.,Omni signals.,Both omni and directional signals.
1893. VOR principle is the same as,ADF,VHF,A lighthouse,A lighthouse
"1894. With a lighthouse, when you receive the flash",The rotating beam is at magnetic north,The rotating beam is at magnetic south,The rotating beam is at the A/C,The rotating beam is at magnetic north
1895. Direction to the lighthouse is measured by,The time between the two flashes,The time between the flash light and the visibility of the rotating beam,The time of the rotating beam from the magnetic south to the boat.,The time between the flash light and the visibility of the rotating beam
1896. The VOR ground station also transmits two signals:,Reference signal and variable signal,All directions signal and reference signal,Variable signal a signal like the rotating beam of the lighthouse.,Reference signal and variable signal
1897. The doppler VOR is good for,A/C at low altitude,Areas near mountains or high buildings.,Areas near the airport,Areas near mountains or high buildings.
1898. VOR calculates,The relative bearing,The position of the aircraft relative to the NDB station,The position of the aircraft relative to the VOR station,The position of the aircraft relative to the VOR station
1899. The bearing to the VOR station is,The same as radial,"The radial plus or minus180 degrees,",The same as radial at 180,"The radial plus or minus180 degrees,"
1900. The bearing to the VOR station is,The same as the heading of the aircraft when the heading is north,Dependent of the heading of the aircraft,Independent of the heading of the aircraft,Independent of the heading of the aircraft
1901. VOR deviation is,Difference between the radial the aircraft is actually located on and a preselected radial.,Difference between the radial the aircraft is actually located on and the heading,Difference between the heading and the preselected course,Difference between the radial the aircraft is actually located on and a preselected radial.
1902. The VOR antenna is located,In avionics compartment,On the vertical stabilizer.,On top of A/C,On the vertical stabilizer.
1903. Outputs of the VOR receiver go to,"ND, RMI and MCDU","ND, RMI and PFD","ND, RMI and FMS","ND, RMI and FMS"
1904. VOR Receiver gives output to the Audio System,VHF communication from VOR station,Identification of the VOR station,VHF frequency of the VOR station,Identification of the VOR station
1905. ILS provides,Lateral and vertical position data necessary to put the aircraft on the runway for approach.,Vertical position data necessary to put the aircraft on the runway for approach.,The runway reference on landing.,Lateral and vertical position data necessary to put the aircraft on the runway for approach.
1906. ILS uses signals from,A localizer and a glide slope transmitter on the ground,RA and DME,RA and VOR,A localizer and a glide slope transmitter on the ground
1907. LOC ground station transmits signals for,The slant angle to the runway,Lateral guidance,Vertical position data,Lateral guidance
"1908. When the Localizer deviation pointer deflects to the right, indicating that",The pilot to fly left,The runway centerline is to the left,The runway centerline is to the right.,The runway centerline is to the right.
1909. The glide slope ground station transmits,Upper lobe and lower lobe,Left and right lobe,A single center lobe,Upper lobe and lower lobe
1910. The glide slope ground station gives,The runway centerline guidance,A descent path to the touchdown point on the runway.,Lateral guidance,A descent path to the touchdown point on the runway.
1911. The glideslope deviation pointer is centered when,An aircraft flies on the runway centerline,An aircraft flies on the selected course,An aircraft flies on the glide slope centerline,An aircraft flies on the glide slope centerline
1912. RA calculates the vertical distance using,Air data,Time delay by comparing the transmitted and received signal.,Signals from ground station,Time delay by comparing the transmitted and received signal.
1913. RA antennas are mounted,On the top of the fuselage.,On the vertical stabilizer.,At the bottom of the fuselage.,At the bottom of the fuselage.
"1914. At the decision height,",A voice gives an aural alert to the cabin attendants,The pilot must go around.,The pilot must decide if the visibility is sufficient for a landing.,The pilot must decide if the visibility is sufficient for a landing.
1915. The DME measures,The vertical distance from the aircraft to ground station,The slant distance from the aircraft to ground station,The horizontal distance from the aircraft to ground station,The slant distance from the aircraft to ground station
1916. DME indications.is on,RMI or ND,RMI or MCDU,ND or MCDU,RMI or ND
1917. WXR system presents,The forecast display of the weather conditions in front of the aircraft,A map type display of the weather conditions in front of the aircraft,Weather conditions to the passengers,A map type display of the weather conditions in front of the aircraft
1918. The WXR system operates on the same principle as,DME,An echo,ATC,An echo
1919. ATC on the A/C is,A interrogator,A transponder,A receiver,A transponder
1920. The ATC transponder operates in,Four modes,Two modes,Three different modes,Three different modes
1921. Mode S transponders,Have a unique airframe address code,Have two airframe address codes,Do not need a code,Have a unique airframe address code
1922. TCAS communicates with,The ATC of other aircraft,The ATC on ground,VHF of other aircraft,The ATC of other aircraft
1923. The TCAS computer is a,Interrogator,Transceiver,Transponder,Interrogator
1924. The TCAS antenna are,On the top of the fuselage.,On the top and at the bottom of the fuselage.,At the bottom of the fuselage.,On the top and at the bottom of the fuselage.
1925. When two A/C have ATC mod S,TCAS gives RA and TA,TCAS gives alert only but coordinated.,TCAS computers calculate an escape path which is exchanged and coordinated.,TCAS computers calculate an escape path which is exchanged and coordinated.
1926. TCAS indications is on,ND and MCDU,ND and PFD,PFD and MCDU,ND and PFD
1927. GPS uses,24 primary and 1 spare satellites,24 satellites,24 primary and 3 spare satellites,24 primary and 3 spare satellites
1928. FANS is,The future air navigation surveillance,The future air navigation system,The fine air navigation system,The future air navigation system
"1929. What does ""CVR"" stand for?",Cockpit Voice Recorder,Captain Voice Recorded,Cockpit Voice Recording,Cockpit Voice Recorder
1930. What is the input channel 4 of CVR?,Captain's headset signals,Signals of the Cockpit Area Microphone (CAM),Flight engineer's headset signals,Signals of the Cockpit Area Microphone (CAM)
"1931. Who does develop ""CIDS""?",Airbus,Boeing,Mcdonell Doughlas,Airbus
1932. The main function of BITE in CIDS?,Manage the fluency of data,Find out the fault and send them to CFDS as well as PTP,As a substitution when CIDS die,Find out the fault and send them to CFDS as well as PTP
1933. Which systems belong to ACCESS?,"Call system, lighting, lavatory smoke detection","Passenger Entertainment System, lighting, lavatory smoke detection","Passenger Entertainment System, Passenger Address System, Cabin Lightning System, Cabin Interphone System, Passenger Service System","Passenger Entertainment System, Passenger Address System, Cabin Lightning System, Cabin Interphone System, Passenger Service System"
1934. How high is the signal used for testing buttons of the CVR?,180HZ,400HZ,250HZ,400HZ
1935. The equipment and furnishings installed in the cockpit of an aircraft provide comfort and safety to crew?,"The cockpit seats, linings and furnishings, the cockpit equipment racks","The overhead stowage compartments, the Passenger Service/Information Units (PSIU), the curtains and partitions","The lower−deck Cargo Loading System (CLS),","The cockpit seats, linings and furnishings, the cockpit equipment racks"
"1936. the guides and latches, the linings and furnishings in the cargo compartments.",,,,
1937. How to controls Captain and Officer seats?,"Manual controls are fitted to the seats, Electrical controls are also available on modern aircraft. They consists of motors coupled to reduction gears. The motors are controlled by two three−position switches.",Additional manual controls are used to adjust the up and down positions. All the controls are easy accessible and enable the occupant to select the de- sired position.,"Electrical controls are also available on modern aircraft. They consists of motors coupled to reduction gears. The motors are controlled by two four−position switches. (RH,LH, FW, Rear)","Manual controls are fitted to the seats, Electrical controls are also available on modern aircraft. They consists of motors coupled to reduction gears. The motors are controlled by two three−position switches."
1939. EQUIPMENT / FURNISHINGS for Captain and Officer seats?,"Belt and buckle, Harness, Back rest, Lumbar rest, side stick arm rest, electrical controls, and life vest not under seat","Belt and buckle, Harness, seat cushion, Lumbar rest, side stick arm rest, fifth strap and life vest under seat","Belt and buckle, Harness, Back rest, Lumbar rest, side stick arm rest, and table inside armrest, electrical controls and life vest under seat","Belt and buckle, Harness, Back rest, Lumbar rest, side stick arm rest, electrical controls, and life vest not under seat"
1940. How to setup the flight observer seats?,"The flight observer seats are generally folding type seats, attached to the rear panel in the cockpit or secured to the cockpit floor.","The seats are attached to the rear panel in the cockpit or secured to the cockpit floor, longitudinal adjustment is provided. A manual control enables the seat to be moved from its stowage position to its utilization position.","Belt and buckle, Harness, Back rest, Lumbar rest, side stick arm rest, electrical controls, life vests are stowed in a compartment or a bag within the reach of the occupant.","The flight observer seats are generally folding type seats, attached to the rear panel in the cockpit or secured to the cockpit floor."
1941. The equipment and furnishings which are installed in the passenger seating area are?,"Passenger seats, cabin attendant seats, linings and furnishings, overhead stowage compartments for stowage of passenger carry−on baggage and other equipment, passenger service/information units, textile floor coverings.","Passenger seats, cabin attendant seats, linings and furnishings, overhead stowage compartments, galleys, lavatories and other equipment.","Passenger seats, cabin attendant seats, linings and furnishings, overhead stowage compartments, galleys, lavatories, emergency escape slide/slide rafts, first aid equipment, lamps, carpet, ...","Passenger seats, cabin attendant seats, linings and furnishings, overhead stowage compartments for stowage of passenger carry−on baggage and other equipment, passenger service/information units, textile floor coverings."
1942. How the passenger seats are installed and equipped?,"They must be installed on the seat tracks or on the cabin floor−structure (hardpoint mounted). They are equipped ashtray, seat belt, seat cushion, armrest.","They must be installed on the seat tracks and can adjustable up and down. They are equipped seat belt, seat cushion, armrest.","They must be installed on the seat tracks. They are equipped ashtray, seat belt, seat cushion, armrest, and table, life vest in armrest.","They must be installed on the seat tracks or on the cabin floor−structure (hardpoint mounted). They are equipped ashtray, seat belt, seat cushion, armrest."
1943. How to adjust forward and rear Pax seat?,Losse quick-release fittings at the front and the rear legs and adjust on seat track,Can not adjust forward and rear Pax seat,Only adjust with three−position switches.,Losse quick-release fittings at the front and the rear legs and adjust on seat track
1944. Which sentence describes the cabin−attendant seats?,"The cabin−attendant seats have: backrest and seat pan with a cushion, headrest with a cushion, seat belt and automatically pull it in when the seat is not in use.",A stowage compartment below the seat pan or inside the headrest or armrest can be used to stow emergency equipment.,"The backrest, food rest and seat cushion pads are covered with heat resistant covers. All areas of cabin−attendant contact are free of projections which might cause injury or damage clothing.","The cabin−attendant seats have: backrest and seat pan with a cushion, headrest with a cushion, seat belt and automatically pull it in when the seat is not in use."
1945. Choose the correct question about PSIUs (The Passenger Service/Information Units),The PSIUs are installed in the passenger service channel to give service and information to the passengers.,The PSIUs are installed in the passenger service supply channels. The passenger service supply channels are located on the upper of the overhead stowage compartments,"The PSIU’s are hung from the attachment rails and held in position with the section hose. The clamping blocks, installed in different positions prevent the PSIUs from falling down. The spaces between the PSIUs are filled with blank filler panels. The filler panels have different dimensions",The PSIUs are installed in the passenger service channel to give service and information to the passengers.
"1946. What are material-making ceiling panels, and Upper Sidewall Panels?",Each ceiling panels and upper sidewall panels are made of a composite structure material. The surface of the Panels have a decorative plastic cover.,The ceiling panels and upper sidewall panels are made are made of synthetic honeycomb material. They are installed over the full length of the cabin and the utility area.,The ceiling panels and upper sidewall panels are made of wood material. They are installed over the full length of the cabin and the utility area.,The ceiling panels and upper sidewall panels are made are made of synthetic honeycomb material. They are installed over the full length of the cabin and the utility area.
1947. What is the function of the Prerecorded Announcement and Boarding Music (PRAM)?,"The PRAM is usually installed in the avionics compartment and controlled from the FORWARD Attendant Panel (FAP), PRAM is used to play announcements and music programs.",The PRAM transmits manually selected announcements and automatic announcements but can not automatic emergency announcements (rapid cabin decompression).,"The PRAM is usually installed after FORWARD Attendant Panel (FAP) and controlled from the FAP, PRAM is used to play announcements and music programs.","The PRAM is usually installed in the avionics compartment and controlled from the FORWARD Attendant Panel (FAP), PRAM is used to play announcements and music programs."
1948. How Oxygen masks are equipped in the lavatory?,"The lavatories were not equipped with oxygen masks and when emergency, one announcement required the Passenger to return his (her) seat position.",There is an Emergency oxygen container and oxygen mask installed upper ceiling of the lavatory,"Oxygen masks are not needed in the lavatories, because passengers may use oxy in the cabin",There is an Emergency oxygen container and oxygen mask installed upper ceiling of the lavatory
1949. Choose the correct question?,"There are three cargo compartments (FWD cargo compartment, AFT cargo compartment, Bulk cargo compartment), Some narrow body aircraft have bulk holds only or a cargo container loading system optional",On narrow body aircraft the FWD and AFT cargo compartments each have an equivalent semi−automatic cargo loading system. Containers and pallets can be loaded in the FWD and AFT cargo compartment only.,"Airplanes with FWD cargo compartments only can be equipped with a sliding carpet loading system for more economical turnaround times, especially on charter flights with a higher number of baggage.","There are three cargo compartments (FWD cargo compartment, AFT cargo compartment, Bulk cargo compartment), Some narrow body aircraft have bulk holds only or a cargo container loading system optional"
1950. What are linings and furnishings equipped in Cargo compartment? (FWD and AFAT cargo),"Bulk cargo compartment is completed with the smoke detection system, The sidewall linings and ceiling panels in the FWD cargo compartment prevent damage to the aircraft structure","There are panels at the ceiling, rapid decompression; the loading area light, the cargo compartment lighting, left and right sidewall lining, the smoke detection system",Deflector strips are installed at the center of the ceiling panels. The deflector strips keep a clearance between the top of the cargo and the components of the smoke detection and fire extinguishing system. There is a portable fire extinguisher installed near the Cargo door,"There are panels at the ceiling, rapid decompression; the loading area light, the cargo compartment lighting, left and right sidewall lining, the smoke detection system"
1951. How are cabin escape facilities installed?,The cabin escape facilities are installed at all the aircraft emergency exits only. They permit quick evacuation for the passengers and the crew in an emergency.,Escape facility warning systems are installed at emergency exits only. A warning light operates immediately if an exit is opened in the ARMED mode. An audible warning sound operates in the cockpit and optional at all main exit doors.,,Door Escape Facilities.Single lane or dual lane escape slides are installed at all cabin doors. Inflation is automatic if the door is opened with the Emergency Control Handle (ECH) in the ARMED mode.Manual inflation is possible after the door is opened.
1954. How to the escape slide Aspirator working?,Flapper valves installed in the aspirator operate as a one−way check valve for inlet air. The fast expansion of gas in the aspirator when the inflation system is activated causes the flapper valves to open. They open because of the induction effect from gas movement into the inflatable assembly and let ambient air into the aspirator.,Flapper valves installed in the Aspirator operate as a one−way check valve for inlet air. The gas in inflation reservoir (Nitrogen/Carbon Dioxide) movement into the escape slide.,"The aspirator is made of soft rubber and has: − an inlet assembly,",Flapper valves installed in the aspirator operate as a one−way check valve for inlet air. The fast expansion of gas in the aspirator when the inflation system is activated causes the flapper valves to open. They open because of the induction effect from gas movement into the inflatable assembly and let ambient air into the aspirator.
1958. What is known as Miscellaneous emergency equipment installed on the aircraft?,"Flash Lights, Crash Axe, Smoke Masks, Protective Breathing Equipment (PBE), Protective Gloves, First Aid Kit, Megaphone","Flash Lights, Crash Axe, Smoke Masks, Protective Breathing Equipment (PBE), Protective Gloves","Protective Breathing Equipment (PBE), Protective Gloves, First Aid Kit, Megaphone","Flash Lights, Crash Axe, Smoke Masks, Protective Breathing Equipment (PBE), Protective Gloves, First Aid Kit, Megaphone"
1959. What are Purposes of first aid equipment in aircraft?,"The kits contain medication to give help to passengers or crew members who become ill, or suffer light injury.",First aid kit used for Crew members only,"The kits contain medication, oxygen masks and drugs to give help to passengers or crew members who become ill, or suffer light injury.","The kits contain medication to give help to passengers or crew members who become ill, or suffer light injury."
1960. How stretcher are installed in Aircraft?,The stretcher is fitted to the seat tracks.,The stretcher must be installed with the feet in the direction of flight.,"The stretcher may be installed always adjacent to the cabin outer wall, and AFT cabin only (left or right side).",The stretcher is fitted to the seat tracks.
1961. How many frequencies Emergency Locator Transmitter (ELT) can transmit?,3 frequencies,4 frequencies,2 frequencies,3 frequencies
1962. What does frequencies Emergency Locator Transmitter (ELT) transmit?,"3 frequencies 406 MHz, 121,5 MHz and 243 MHz","4 frequencies 406 MHz, 121,5 MHz and 243 MHz, 25MHz in HF band","2 frequencies 406 MHz to the satellites, 121,5 MHz to different aircraft or boats on the sea.","3 frequencies 406 MHz, 121,5 MHz and 243 MHz"
1963. The Emergency Locator Transmitter (ELT) system has:,− an ELT transmitter,− an ELT transmitter,− an ELT transmitter,− an ELT transmitter
1964. Where Emergency Locator Transmitter (ELT) antenna is installed,Upper and bottom external fuselage,Upper and after external fuselage,Upper and forward external fuselage,Upper and after external fuselage
1965. When Emergency Locator Transmitter (ELT) operation?,Automatic distress signal and Manual distress,Manual distress,Automatic distress signal,Automatic distress signal and Manual distress
1966. How does Emergency Locator Transmitter (ELT) work?,The impact detection acceleration sensor (gravity switch) has detected an impact sufficient to start the operation of the ELT transmitter.,ELT works in water only (Battery installed in ELT component and active in water),"During an Emergency, the Captain of the flight active ELT by AUTO/OFF/ON switch",The impact detection acceleration sensor (gravity switch) has detected an impact sufficient to start the operation of the ELT transmitter.
1967. Where Airstairs are installed in Some narrow body aircrafts?,Below main entry door 1L,Below main entry door 1R,After and below main entry door,Below main entry door 1L
1968. Airstair extension has which sequence of events?,"1-Airstair door unlocks and opens; 2-Airstair moves out of the fuselage through the airstair door, unfolds, and lowers to the ground; 3-Manual extension of the airstair upper handrails.","1-Airstair moves out of the fuselage through the airstair door, unfolds, and lowers to the ground; 2-Airstair door unlocks and opens; 3-Manual extension of the airstair upper handrails.","1-Manual extension of the airstair upper handrails.2-Airstair door unlocks and opens; 3-Airstair moves out of the fuselage through the airstair door,","1-Airstair door unlocks and opens; 2-Airstair moves out of the fuselage through the airstair door, unfolds, and lowers to the ground; 3-Manual extension of the airstair upper handrails."
1969. The fuselage is thermal insulated?,The fuselage is insulated with glasswool blankets that have a density of 0.42 lb/ft3 (6.73 kg/m3),The fuselage is insulated with polyethylene foam plates that have a density of 0.6 lb/ft3 (9.63 kg/m3),The fuselage is insulated with polyethylene foam plates that have a density of 0.42 lb/ft3 (6.73 kg/m3),The fuselage is insulated with glasswool blankets that have a density of 0.42 lb/ft3 (6.73 kg/m3)
1970. How to do the FWD and AFT doors Escape Slide Operation?,"Door opens outboard, door pull he inflatable assembly. As the inflatable assembly is released it starts to fall and a lanyard pulls the reservoir valve to open when Handle set ARMED","Door opens outboard, door pull he inflatable assembly, escape pull lanyard of the reservoir valve to open. does not depend on position of Handle","Door opens outboard, door pull he inflatable assembly. As the inflatable assembly is released it starts to fall and a lanyard pulls the reservoir valve to open. when Handle set ARMED","Door opens outboard, door pull he inflatable assembly. As the inflatable assembly is released it starts to fall and a lanyard pulls the reservoir valve to open when Handle set ARMED"
1971. Where offwing escape slides are installed and how does it operate?,They are installed above the wings in the left and right wing−to−fuselage fairings. Inflation is automatic if the emergency exit hatch is opened in the ARMED mode.,They are installed under Doors. When Inflation is automatic if the emergency exit hatch is opened in the ARMED mode.,They are installed under Doors. When Inflation is automatic if the emergency exit hatch is opened in by manual.,They are installed above the wings in the left and right wing−to−fuselage fairings. Inflation is automatic if the emergency exit hatch is opened in the ARMED mode.
1972. The flight instruments are located:,On captains instrumentanel and are repeated on copilots instrument panel,On the center instrument panel,On the overhead panel or flight engineer panel,On captains instrumentanel and are repeated on copilots instrument panel
1973. The flight instruments on the captains and copilots instrument panels have,an identical layout,a difference layout,a Asymmetrical layout,an identical layout
1974. Which indication is integrated in the attitude director?,The artificial horizon,The attitude indication,The artificial horizon or attitude indication,The artificial horizon or attitude indication
1975. Which indicationis integrated in the Horizontal situation?,The artificial horizon,The compass or heading indication,The attitude indication,The compass or heading indication
1976. The dynamic pressure is,The difference between the total and the static pressure,Higher than total pressure,The same as static pressure,The difference between the total and the static pressure
1977. TAS is,True airspeed,Total airspeed,Temperature air system,True airspeed
1978. The ground speed is used for,navigation purposes,calculate the wind component from the difference to the TAS,for navigation purposes and to calculate the wind component from the difference to the TAS,for navigation purposes and to calculate the wind component from the difference to the TAS
1980. The vertical speed indicator shows the pilot,The rate of climb in feet per minute,Speed of aircraft,the rate of climb or descent in feet per minute,the rate of climb or descent in feet per minute
1981. Pitot tubes are heated.,by compressed bleed air,by kinetic heating.,electrically,electrically
1982. In all commercial aircraft the gyros are driven by,by electric motors,by air driven,by electric motors and air,by electric motors
1983. Magnetic variation is the difference in angle between,magnetic heading and aircraft heading,the compass north and magnetic north,true north and magnetic north,true north and magnetic north
1984. The flux valve transfers the direction of the magnetic field into,a proportional electrical signal,an inversely proportional electrical signal,a proportional mechanical signal,a proportional electrical signal
1988. The aircraft manufacturers use different names for the Electronic Instrument Display Systems (EIDS) as follow,Boeing call it the Electronic Instrument System (EIS) and Airbus call it the Integrated Display System (IDS),Airbus call it the Electronic Instrument System (EIS) and Boeing call it the Integrated Display System (IDS),Airbus call it the Electronic Instrument Display Systems (EIDS) and Boeing call it the Integrated Display System (IDS),Airbus call it the Electronic Instrument System (EIS) and Boeing call it the Integrated Display System (IDS)
"1989. On the Airbus aircraft, The Engine indication and the central warning system is called",ECAM (Electronic Centralized Aircraft Monitoring System),EICAS (Engine Indication And Crew Alerting System),Both ECAM and EICAS,ECAM (Electronic Centralized Aircraft Monitoring System)
"1990. On the Boeing aircraft, The Engine indication and the central warning system is called",ECAM (Electronic Centralized Aircraft Monitoring System),EICAS (Engine Indication And Crew Alerting System),The Electronic Instrument Display Systems (EIDS),ECAM (Electronic Centralized Aircraft Monitoring System)
1991. Types of display switching are available,Automatic switching,Manual switching,Automatic and Manual switching,Automatic and Manual switching
