Question,Option A,Option B,Option C,Option D,Correct Answer
What is purpose of switch of static inverter,Induces an sinusoidal current into the primary winding of the transformer of static inverter,Change direction of current in the primary winding of the transformer of static inverter,Protect primary winding of the transformer of static inverter,,Change direction of current in the primary winding of the transformer of static inverter
What happen if constant speed drive (CS,"The centrifugal force cannot open the clutch completely, this can lead to a clutch damage, such as broken teeth.",CSD is disconnect as normal,Worm gear can be damaged,is disconnect while the input speed is too low (not stop).,"The centrifugal force cannot open the clutch completely, this can lead to a clutch damage, such as broken teeth."
"In the parallel operation, what is task of regulations function of generator control unit (GCU)",Ensure that all generators share the same load and synchronise power sources before a generator power source can be switched into parallel to another power source,Ensure that all generators share the same load,Synchronise power sources before a generator power source can be switched into parallel to another power source,,Ensure that all generators share the same load and synchronise power sources before a generator power source can be switched into parallel to another power source
What happen if a manual trip is performed by releasing the corresponding generator pushbutton switch,"Generator control relay open, exciter current is cut off, generator power relay open","Generator control relay open, generator power relay open","Generator power relay open,",,"Generator control relay open, exciter current is cut off, generator power relay open"
When does transformer rectifier (TR) have low current,An internal failure occur,An overload occur,Short circuit occur,,An internal failure occur
What happen to a nickel cadmium battery when it is overheated during charging with constant voltage charging method,The battery output voltage increases that result in a thermal runaway,The battery output voltage reduce that result in a thermal runaway,The battery output voltage do not change,,The battery output voltage reduce that result in a thermal runaway
Main part of fire protection system?,The fire detection system,The fire detection system and the fire extinguishing system,The fire extinguishing system,,The fire detection system and the fire extinguishing system
Which area Fire detection systems must always be operative?,The engines and the APU,The APU,The engines,,The engines and the APU
Where is/are temperature sensitive detectors used in?,The engine and APU area and in the wheel well and hot air duct,The engine and APU area and in the wheel well,The engine and in the wheel well and hot air duct,,The engine and APU area and in the wheel well and hot air duct
What type of the fire or overheat detection sensors?,Continuous and parallel loops,Parallel loops,Continuous loops,,Continuous loops
What is/are types of continuous loops?,Single loop and the pneumatic pressure loop,Semiconductor loop and the electrical loop,Semiconductor loop and the pneumatic pressure loop,,Semiconductor loop and the pneumatic pressure loop
What type of sensor used in engine fire detection systems?,Dual continuous loop,Dual parallel loops,Single continuous loop,,Dual continuous loop
What type of loop used in wheel well fire detection systems?,Pressure loop,Dual loop,Individual semiconductor loops,,Individual semiconductor loops
What type of the lavatory smoke detection sensors?,Single sensor in the lavatory ceiling area,Single sensor in the lavatory sidewall area,Dual sensor in the lavatory ceiling area,,Single sensor in the lavatory ceiling area
How many class of cargo and baggage component?,4,5,6,,5
"To prevent loop failures and false fire warnings, we must?",Obey a maximum bending not more than 3.2 mm and a minimum radius not less than 25.4 mm,Obey a maximum bending not more than 3.2 mm and a minimum radius not less than 2.54 mm,Obey a maximum bending not more than 4.2 mm and a minimum radius not less than 25.4 mm,,Obey a maximum bending not more than 3.2 mm and a minimum radius not less than 25.4 mm
What is /are main components of the gas pressure loop?,Stainless steel tube,Stainless steel tube and responder,Responder,,Stainless steel tube and responder
Type of smoke detector are in use in transport aircraft?,The optical and the ionization,The pressure and the ionization,The optical and the pressure,,The optical and the ionization
How many factors of fire?,1,3,2,,3
How many fire types?,4,3,2,,4
How many types of fire extinguisher agents?,3,5,4,,4
What component/area has an automatic fire extinguisher system?,Engine,APU,MLG bay,,APU
"With respect to flight spoilers, they.",Can operate both on the ground and in flight.,Only operate on the ground.,Only operate in flight.,,Can operate both on the ground and in flight.
A stick shaker operates,Just before the stall.,After the stall.,At the onset of the stall.,,Just before the stall.
Active load alleviation control uses,Ailerons and spoilers.,Elevator and ailerons.,Elevator and stab.,,Ailerons and spoilers.
Elevons combine the functions of both,Elevator and aileron.,Rudder and aileron.,Rudder and elevator.,,Elevator and aileron.
The aircraft is controlled about the lateral axis by the,Ailerons.,Rudder.,Elevator.,,Elevator.
The aircraft is controlled about the vertical axis by the,Elevator.,Ailerons.,Rudder.,,Rudder.
Which of the following is not a primary flying control?,Tailplane.,Elevator.,Rudder.,,Tailplane.
The maximum rudder deflection changes with,Airspeed.,Flap position.,Altitude.,,Airspeed.
"On the ground, the maximum deflection of spoilers/speedbrakes is",15°.,30°.,45°.,,45°.
Surface flutter can be prevented by,Balance weights.,Trim tabs.,Balance panels.,,Balance weights.
For roll control the aircraft is controlled by,Ailerons.,Elevator.,Rudder.,,Ailerons.
A differential aileron system is designed to,Minimize flutter.,Compensate for aileron reversal.,Avoid the problem of the negative turning movement,,Avoid the problem of the negative turning movement
The type of flap which extends rearwards when lowered is called a,Split flap.,Plain flap.,Fowler flap.,,Fowler flap.
Which of the following trailing edge flaps give an increase in wing area?,Split flap.,Slotted flap.,Fowler flap.,,Fowler flap.
"When spoilers are used asymmetrically, they combine with",Ailerons.,Elevators.,Rudder.,,Ailerons.
"In normal flight, if the control column is pulled back, the elevator will",Move up.,Move down.,No change,,Move up.
Artificial feel is gained by using a,Spring bias unit.,Hydraulic damper.,'feel' generator.,,Spring bias unit.
For aircraft turn coordination,"Ailerons, rudder and THS will move.","Ailerons, rudder and roll spoilers will move.",Ailerons and rudder will move.,,"Ailerons, rudder and roll spoilers will move."
The purpose of cable tension regulators is to,Keep tension of the cable roughly constant at different temperatures,Compensate for low temperature only.,Compensate for high temperature only.,,Keep tension of the cable roughly constant at different temperatures
Excessive wear on both sides of the control cable pulley groove is evidence of,Excessive cable tension.,Pulley misalignment.,Cable misalignment.,,Pulley misalignment.
Excessive wear on one sides of the control cable pulley groove is evidence of,Excessive cable tension.,Pulley misalignment.,Cable misalignment.,,Cable misalignment.
"On an aircraft fitted with elevons in normal flight, if a column is moved forward, the elevons will",Remain stationary.,Both move down.,Both move up.,,Both move up.
"In fully Fly By Wire aircraft, wing root bending moments are reduced by",Transfer of fuel from one wing tank to another.,Operation of the elevator.,Symmetrical application of ailerons.,,Symmetrical application of ailerons.
During an autopilot controlled turn,"Ailerons, rudder and THS will move.",Ailerons and rudder will move.,"Ailerons, rudder and roll spoilers will move.",,"Ailerons, rudder and roll spoilers will move."
"On a full fly-by-wire system, a speedbrake screwjack servomotor is controlled by the",Flight augmentation computer.,Flight control computer.,Flight management and guidance computer.,,Flight control computer.
"In a fly-by-wire aircraft, what controls the roll spoilers?",Flight control computer.,Flight augmentation computer.,Flight management computer.,,Flight control computer.
Mass balance weights are used to,Balance the trailing edge of flying control surfaces.,Prevent flutter on control surfaces.,Balance the tabs.,,Prevent flutter on control surfaces.
Rudder trim is controlled by the,Rudder trim computer.,Electric flight control unit.,Flight Guidance and Management Computer.,,Rudder trim computer.
An artificial feel system is required,For power assisted control systems.,For proportional control systems.,For power operated control systems.,,For power assisted control systems.
A stick shaker is a device which,Helps extricate an aircraft from soft ground.,Gives a short period of extra lift to assist take off.,Vibrates the control column near stalling speed.,,Vibrates the control column near stalling speed.
"Ruddervators when moved, will move","Either opposite each other or together, depending on the selection.",Together only.,Opposite to each other only.,,"Either opposite each other or together, depending on the selection."
"In a power assisted flight control system, the feel required is normally supplied by",Q feel.,Air loads on the control surfaces.,Stretching springs.,,Air loads on the control surfaces.
Spoiler panels are controlled by,The aileron control wheel and speed brake lever.,A speed brake lever only.,The aileron control wheel only.,,The aileron control wheel and speed brake lever.
"""If hydraulic pressure is removed from a spoiler system, the spoiler panels",Go to down if any are not already down.,Go to full up.,Remain where they are.,,Go to down if any are not already down.
"Moving the elevator control columns fully aft, then the",Aircraft tends to go nose down.,Aircraft tends to go nose up.,Aircraft tends to roll to the right.,,Aircraft tends to go nose up.
Ground spoilers are used to,Increase wing loading on take-off.,Prevent FOD ingestion into the engines on landing and taxiing.,Dump the lift and increase the drag,,Dump the lift and increase the drag
Pushing the left rudder pedal,Yaws the aircraft left and possibly the right wing will rise.,Yaws the aircraft right,No effect on the aircraft.,,Yaws the aircraft left and possibly the right wing will rise.
Differential aileron control will,Prevent yawing in conjunction with rudder input.,Cause a nose down moment.,Cause a nose up moment.,,Prevent yawing in conjunction with rudder input.
During turn coordination rudder co-operates with,Ailerons,Ailerons and elevators,Ailerons and roll spoilers,,Ailerons and roll spoilers
Gust Load Alleviation Function system used to,Prevents extreme wing bending during gusts and decreases wing structure load,Prevents extreme wing bending during gusts,Decreases wing structure load,,Prevents extreme wing bending during gusts and decreases wing structure load
"To avoid moments bending the root of the wing, the aircraft will be fitted with",Integrated fuel monitoring system.,Load Alleviation Function system,Automatic trim control for controlled turns and rudder movements.,,Load Alleviation Function system
An artificial feel system is necessary in a powered flying control system to,Increasing the sensitivity of the control system.,Provide the pilot with simulated stick forces.,Prevent overloading of the power control units.,,Provide the pilot with simulated stick forces.
"In normal flight, if the control wheel is moved to the left, then the aileron on the right wing will",Deflected downward deflected upward,Deflected upward,Kept constant.,,Deflected downward deflected upward
"In a fully Fly By Wire Aircraft, ground spoilers are deployed automatically when the aircraft is on ground and",Brakes are deployed.,Thrust reversers are deployed.,Weight on ground switch is activated.,,Thrust reversers are deployed.
When the control column is moved back and the hand-wheel turned to the left,The elevators move down and the left aileron moves down.,The left aileron moves up and the elevators move up.,The elevators move up and the left aileron moves down.,,The left aileron moves up and the elevators move up.
Load alleviation function in turbulent weather conditions will result in,Spoiler moving symmetrically upward.,Ailerons moving symmetrically upward.,Ailerons and spoiler moving symmetrically upward.,,Ailerons and spoiler moving symmetrically upward.
The two switches for pitch trim are located,On the captain’s and the first officer’s control wheels acting like an 'AND' switch.,On the control column with the captain having priority over the First Officer.,On the control column acting like an 'OR' switch.,,On the captain’s and the first officer’s control wheels acting like an 'AND' switch.
What is the purpose of a differential aileron?,To decrease the drag and decrease the rate of yaw and turn.,Has no effect on rate of yaw and turn.,To increase the drag to increase the rate of yaw and turn.,,To increase the drag to increase the rate of yaw and turn.
"What is fitted on the aircraft to enable the pilot to reduce his speed rapidly in event of severe turbulence, or speed tending to rise above the Never Exceed Limit?",Wheel brakes.,Speed brakes.,Lift dumpers.,,Speed brakes.
A differential aileron control system results in.,Aileron drag being reduced on the inner wing in a turn.,Aileron drag being compensated by small rudder movements.,Aileron drag being reduced on the outer wing in a turn.,,Aileron drag being reduced on the outer wing in a turn.
A differential aileron control is one which gives.,A larger aileron up travel than down.,The down-going aileron more travel than the up-going one.,"Equal aileron travel in each direction, but variable for stick movement.",,A larger aileron up travel than down.
A stick shaker.,Is a linear actuator attached to the base of the control column.,Is an electric motor and mounted on the control column.,Vibrates the elevators to cause buffeting of the airframe.,,Is an electric motor and mounted on the control column.
If the side stick is moved forward and to the left.,"Left aileron moves down, right aileron up, elevator down.","Left aileron moves up, right aileron down, elevator down.","Left aileron moves up, right aileron moves down, elevator up.",,"Left aileron moves up, right aileron down, elevator down."
"On an aircraft fitted with spoilers for lateral control, roll to the right is caused by.","Left spoiler extending, right spoiler remaining retracted.","Right spoiler extending, left spoiler remaining retracted.",Both spoilers extending.,,"Right spoiler extending, left spoiler remaining retracted."
How are spoilers normally operated?,Electrical motors.,Hydraulic actuator.,Air pistons.,,Hydraulic actuator.
Rudder deflection is limited by,Airspeed.,Altitude.,Flap position.,,Airspeed.
"If an aircraft is entering a turn to the left, what input to rudder crossfeed be?",Right Rudder.,No Rudder.,Left Rudder.,,Left Rudder.
"If a stall is approaching, what indication does the pilot get?",Stick Shaker.,EICAS warning.,Stick Nudger.,,Stick Shaker.
"If the aircraft is to be rolled to the right, where does the pilot feed in this command?",Rudder Pedals.,Control Wheel.,Control Column.,,Control Wheel.
What happens when a control stick is pulled back and to the left?,"Elevator up, left aileron down.","Elevator down, right aileron down.","Elevator up, right aileron down. ----HẾT---",,"Elevator up, right aileron down. ----HẾT---"
